NX_A0A075B6H9-1	ENST00000390282
NX_P42261-4	ENST00000518783
NX_P42261-4	ENST00000521843
NX_P42261-5	ENST00000518783
NX_P42261-6	ENST00000448073
NX_P42262-1	ENST00000264426
NX_P42262-2	ENST00000296526
NX_P42262-4	ENST00000296526
NX_P42262-4	ENST00000393815
NX_P42262-4	ENST00000507898
NX_P42263-1	ENST00000541091
NX_P42263-1	ENST00000622768
NX_P42263-2	ENST00000620443
NX_P42285-1	ENST00000230640
NX_P42330-1	ENST00000380554
NX_P42330-2	ENST00000380554
NX_P42330-2	ENST00000439082
NX_P42330-2	ENST00000605149
NX_P42331-2	ENST00000497079
NX_P42331-3	ENST00000409030
NX_P42331-4	ENST00000409202
NX_P42331-5	ENST00000467265
NX_P42331-6	ENST00000409220
NX_P42336-1	ENST00000263967
NX_P42338-1	ENST00000289153
NX_P42338-1	ENST00000477593
NX_P42345-1	ENST00000361445
NX_P42356-1	ENST00000255882
NX_P42356-2	ENST00000255882
NX_P42357-1	ENST00000261208
NX_P42357-2	ENST00000538703
NX_P42357-3	ENST00000261208
NX_P42357-3	ENST00000541929
NX_P42357-3	ENST00000544080
NX_P42566-1	ENST00000371733
NX_P42568-1	ENST00000380338
NX_P42568-2	ENST00000630269
NX_P42574-1	ENST00000308394
NX_P42574-1	ENST00000523916
NX_P42575-1	ENST00000310447
NX_P42575-3	ENST00000350623
NX_P42575-3	ENST00000619992
NX_P42658-1	ENST00000377770
NX_P42658-2	ENST00000332007
NX_P42677-1	ENST00000368567
NX_P42679-1	ENST00000310132
NX_P42679-2	ENST00000395045
NX_P42679-2	ENST00000619596
NX_P42679-3	ENST00000310132
NX_P42679-3	ENST00000395040
NX_P42679-3	ENST00000395045
NX_P42679-3	ENST00000619596
NX_P42680-1	ENST00000381501
NX_P42681-1	ENST00000264316
NX_P42684-10	ENST00000344730
NX_P42684-1	ENST00000502732
NX_P42684-3	ENST00000512653
NX_P42684-4	ENST00000504405
NX_P42684-5	ENST00000511413
NX_P42684-6	ENST00000367623
NX_P42684-7	ENST00000507173
NX_P42684-8	ENST00000392043
NX_P42685-1	ENST00000606080
NX_P42694-1	ENST00000358691
NX_P42694-2	ENST00000579953
NX_P42695-1	ENST00000534548
NX_P42696-1	ENST00000408888
NX_P42696-2	ENST00000476261
NX_P42701-1	ENST00000593993
NX_P42701-1	ENST00000600835
NX_P42701-3	ENST00000322153
NX_P42702-1	ENST00000263409
NX_P42702-1	ENST00000453190
NX_P42704-1	ENST00000260665
NX_P42765-1	ENST00000285093
NX_P42766-1	ENST00000348462
NX_P42768-1	ENST00000376701
NX_P42771-1	ENST00000304494
NX_P42771-2	ENST00000304494
NX_P42771-2	ENST00000380151
NX_P42771-2	ENST00000494262
NX_P42771-2	ENST00000498628
NX_P42771-2	ENST00000578845
NX_P42771-2	ENST00000579755
NX_P42771-3	ENST00000380151
NX_P42771-4	ENST00000498124
NX_P42772-1	ENST00000276925
NX_P42772-2	ENST00000380142
NX_P42773-1	ENST00000262662
NX_P42773-1	ENST00000371761
NX_P42773-1	ENST00000396148
NX_P42785-1	ENST00000313010
NX_P42785-2	ENST00000393399
NX_P42830-1	ENST00000296027
NX_P42857-1	ENST00000397958
NX_P42857-1	ENST00000421177
NX_P42857-1	ENST00000433139
NX_P42857-1	ENST00000505246
NX_P42857-1	ENST00000506380
NX_P42857-1	ENST00000513555
NX_P42857-1	ENST00000513829
NX_P42857-1	ENST00000621129
NX_P42857-2	ENST00000504171
NX_P42858-1	ENST00000355072
NX_P42892-1	ENST00000374893
NX_P42892-2	ENST00000357071
NX_P42892-3	ENST00000415912
NX_P42892-4	ENST00000264205
NX_P42898-1	ENST00000376583
NX_P42898-1	ENST00000376585
NX_P42898-1	ENST00000376590
NX_P42898-1	ENST00000376592
NX_P42898-2	ENST00000376583
NX_P42898-2	ENST00000376585
NX_P43003-1	ENST00000265113
NX_P43003-2	ENST00000381918
NX_P43004-1	ENST00000278379
NX_P43004-2	ENST00000278379
NX_P43004-2	ENST00000395750
NX_P43004-2	ENST00000395753
NX_P43004-3	ENST00000606205
NX_P43005-1	ENST00000262352
NX_P43007-1	ENST00000234256
NX_P43007-2	ENST00000531327
NX_P43026-1	ENST00000374369
NX_P43026-1	ENST00000374372
NX_P43034-1	ENST00000397195
NX_P43080-1	ENST00000053469
NX_P43080-1	ENST00000372958
NX_P43080-1	ENST00000394237
NX_P43088-1	ENST00000370757
NX_P43088-1	ENST00000370758
NX_P43088-2	ENST00000370756
NX_P43115-1	ENST00000306666
NX_P43115-1	ENST00000351052
NX_P43115-1	ENST00000370931
NX_P43115-2	ENST00000370924
NX_P43115-3	ENST00000628037
NX_P43115-4	ENST00000460330
NX_P43115-5	ENST00000356595
NX_P43115-6	ENST00000497146
NX_P43115-7	ENST00000479353
NX_P43116-1	ENST00000245457
NX_P43119-1	ENST00000291294
NX_P43121-1	ENST00000264036
NX_P43121-2	ENST00000525586
NX_P43146-1	ENST00000442544
NX_P43155-1	ENST00000318080
NX_P43155-2	ENST00000318080
NX_P43155-2	ENST00000458362
NX_P43166-1	ENST00000338437
NX_P43166-2	ENST00000338437
NX_P43166-2	ENST00000394069
NX_P43220-1	ENST00000373256
NX_P43234-1	ENST00000433477
NX_P43235-1	ENST00000271651
NX_P43243-1	ENST00000394805
NX_P43243-2	ENST00000503811
NX_P43246-1	ENST00000233146
NX_P43246-2	ENST00000233146
NX_P43246-2	ENST00000543555
NX_P43250-1	ENST00000355472
NX_P43250-2	ENST00000528793
NX_P43250-3	ENST00000355958
NX_P43251-1	ENST00000303498
NX_P43251-2	ENST00000437172
NX_P43251-3	ENST00000449107
NX_P43251-4	ENST00000303498
NX_P43251-4	ENST00000383778
NX_P43251-4	ENST00000437172
NX_P43251-4	ENST00000449107
NX_P43268-1	ENST00000319349
NX_P43268-1	ENST00000393664
NX_P43268-1	ENST00000591713
NX_P43268-2	ENST00000319349
NX_P43268-2	ENST00000393664
NX_P43268-2	ENST00000538265
NX_P43268-2	ENST00000545954
NX_P43268-2	ENST00000591713
NX_P43268-3	ENST00000319349
NX_P43268-3	ENST00000393664
NX_P43268-3	ENST00000538265
NX_P43268-3	ENST00000545089
NX_P43268-3	ENST00000545954
NX_P43268-3	ENST00000586826
NX_P43268-3	ENST00000591713
NX_P43304-1	ENST00000310454
NX_P43304-1	ENST00000409674
NX_P43304-1	ENST00000409861
NX_P43304-1	ENST00000438166
NX_P43304-2	ENST00000310454
NX_P43304-2	ENST00000409125
NX_P43304-2	ENST00000409674
NX_P43304-2	ENST00000409861
NX_P43304-2	ENST00000438166
NX_P43307-1	ENST00000244763
NX_P43308-1	ENST00000295702
NX_P43308-1	ENST00000480567
NX_P43320-1	ENST00000398215
NX_P43351-1	ENST00000358495
NX_P43351-1	ENST00000430095
NX_P43351-2	ENST00000545564
NX_P43351-3	ENST00000461568
NX_P43351-3	ENST00000468231
NX_P43351-4	ENST00000541619
NX_P43351-4	ENST00000544742
NX_P43353-1	ENST00000342456
NX_P43353-1	ENST00000614849
NX_P43353-2	ENST00000617288
NX_P43354-1	ENST00000339562
NX_P43354-1	ENST00000409572
NX_P43354-2	ENST00000339562
NX_P43354-2	ENST00000409572
NX_P43354-2	ENST00000426264
NX_P43355-1	ENST00000356661
NX_P43356-1	ENST00000331220
NX_P43356-1	ENST00000370293
NX_P43356-1	ENST00000595583
NX_P43356-1	ENST00000598543
NX_P43356-1	ENST00000611557
NX_P43356-1	ENST00000611674
NX_P43356-1	ENST00000620710
NX_P43356-1	ENST00000623438
NX_P43356-1	ENST00000623806
NX_P43357-1	ENST00000370278
NX_P43357-1	ENST00000598245
NX_P43358-1	ENST00000276344
NX_P43358-1	ENST00000360243
NX_P43358-1	ENST00000370335
NX_P43358-1	ENST00000370340
NX_P43358-1	ENST00000393920
NX_P43358-1	ENST00000393921
NX_P43359-1	ENST00000446757
NX_P43360-1	ENST00000329342
NX_P43360-1	ENST00000616035
NX_P43361-1	ENST00000286482
NX_P43361-1	ENST00000535454
NX_P43361-1	ENST00000542674
NX_P43362-1	ENST00000243314
NX_P43362-1	ENST00000595065
NX_P43363-1	ENST00000244096
NX_P43363-1	ENST00000370323
NX_P43364-1	ENST00000355220
NX_P43364-2	ENST00000333104
NX_P43364-2	ENST00000355220
NX_P43365-1	ENST00000357916
NX_P43365-1	ENST00000393869
NX_P43365-1	ENST00000393900
NX_P43366-1	ENST00000378981
NX_P43366-1	ENST00000397548
NX_P43366-1	ENST00000397550
NX_P43378-1	ENST00000618819
NX_P43403-1	ENST00000264972
NX_P43403-2	ENST00000264972
NX_P43403-2	ENST00000451498
NX_P43403-2	ENST00000463643
NX_P43403-3	ENST00000463643
NX_P43405-1	ENST00000375746
NX_P43405-1	ENST00000375754
NX_P43405-2	ENST00000375747
NX_P43405-2	ENST00000375751
NX_P43487-1	ENST00000331821
NX_P43487-2	ENST00000402752
NX_P43489-1	ENST00000379236
NX_P43490-1	ENST00000222553
NX_P43626-1	ENST00000336077
NX_P43626-2	ENST00000291633
NX_P43627-1	ENST00000611724
NX_P43627-1	ENST00000613410
NX_P43627-1	ENST00000616831
NX_P43627-1	ENST00000618388
NX_P43627-1	ENST00000618796
NX_P43627-1	ENST00000619621
NX_P43628-1	ENST00000342376
NX_P43629-1	ENST00000391728
NX_P43629-2	ENST00000358178
NX_P43630-1	ENST00000326321
NX_P43630-2	ENST00000270442
NX_P43631-1	ENST00000610441
NX_P43631-1	ENST00000611495
NX_P43631-1	ENST00000612182
NX_P43631-1	ENST00000613378
NX_P43631-1	ENST00000614231
NX_P43631-1	ENST00000614727
NX_P43631-1	ENST00000616472
NX_P43631-1	ENST00000616541
NX_P43631-1	ENST00000617284
NX_P43631-1	ENST00000617419
NX_P43631-1	ENST00000617984
NX_P43631-1	ENST00000618364
NX_P43631-1	ENST00000618510
NX_P43631-1	ENST00000619473
NX_P43631-1	ENST00000622127
NX_P43652-1	ENST00000226355
NX_P43657-1	ENST00000345941
NX_P43657-1	ENST00000378434
NX_P43657-1	ENST00000620633
NX_P43681-1	ENST00000370263
NX_P43681-2	ENST00000498043
NX_P43681-2	ENST00000615287
NX_P43686-1	ENST00000157812
NX_P43686-2	ENST00000455878
NX_P43694-1	ENST00000335135
NX_P43694-2	ENST00000532059
NX_P43699-1	ENST00000354822
NX_P43699-1	ENST00000498187
NX_P43699-1	ENST00000518149
NX_P43699-1	ENST00000522719
NX_P43699-3	ENST00000354822
NX_P43897-1	ENST00000454289
NX_P43897-2	ENST00000323833
NX_P43897-3	ENST00000540550
NX_P43897-4	ENST00000543727
NX_P45378-1	ENST00000397301
NX_P45378-2	ENST00000278317
NX_P45378-3	ENST00000381563
NX_P45378-4	ENST00000381579
NX_P45378-5	ENST00000344578
NX_P45378-6	ENST00000381589
NX_P45378-7	ENST00000381558
NX_P45379-11	ENST00000367322
NX_P45379-12	ENST00000360372
NX_P45379-12	ENST00000367320
NX_P45379-1	ENST00000236918
NX_P45379-6	ENST00000367318
NX_P45379-6	ENST00000509001
NX_P45381-1	ENST00000263080
NX_P45381-1	ENST00000456349
NX_P45452-1	ENST00000260302
NX_P45844-1	ENST00000361802
NX_P45844-2	ENST00000343687
NX_P45844-3	ENST00000398457
NX_P45844-4	ENST00000398449
NX_P45844-5	ENST00000347800
NX_P45844-6	ENST00000398449
NX_P45844-7	ENST00000343687
NX_P45844-7	ENST00000347800
NX_P45844-7	ENST00000398449
NX_P45844-7	ENST00000398457
NX_P45844-8	ENST00000398437
NX_P45877-1	ENST00000306442
NX_P45880-1	ENST00000313132
NX_P45880-2	ENST00000313132
NX_P45880-2	ENST00000332211
NX_P45880-2	ENST00000543351
NX_P45880-3	ENST00000332211
NX_P45880-3	ENST00000543351
NX_P45954-1	ENST00000358776
NX_P45954-2	ENST00000358776
NX_P45954-2	ENST00000368869
NX_P45973-1	ENST00000209875
NX_P45973-1	ENST00000439541
NX_P45973-1	ENST00000550411
NX_P45974-1	ENST00000229268
NX_P45974-2	ENST00000389231
NX_P45983-1	ENST00000374189
NX_P45983-2	ENST00000374182
NX_P45983-3	ENST00000374179
NX_P45983-4	ENST00000374176
NX_P45983-4	ENST00000395611
NX_P45983-5	ENST00000360332
NX_P45984-1	ENST00000452135
NX_P45984-2	ENST00000393360
NX_P45984-3	ENST00000343111
NX_P45984-4	ENST00000455781
NX_P45984-5	ENST00000425491
NX_P45985-1	ENST00000353533
NX_P45985-2	ENST00000415385
NX_P46013-1	ENST00000368654
NX_P46013-2	ENST00000368653
NX_P46019-1	ENST00000379942
NX_P46020-1	ENST00000373542
NX_P46020-2	ENST00000339490
NX_P46020-3	ENST00000541944
NX_P46059-1	ENST00000376503
NX_P46060-1	ENST00000356244
NX_P46060-1	ENST00000405486
NX_P46060-1	ENST00000455915
NX_P46063-1	ENST00000421138
NX_P46063-1	ENST00000444129
NX_P46087-1	ENST00000322166
NX_P46087-1	ENST00000537442
NX_P46087-2	ENST00000399466
NX_P46087-2	ENST00000541778
NX_P46087-3	ENST00000545200
NX_P46087-3	ENST00000617555
NX_P46087-4	ENST00000382421
NX_P46087-4	ENST00000620535
NX_P46089-1	ENST00000374024
NX_P46091-1	ENST00000407325
NX_P46091-1	ENST00000437420
NX_P46091-1	ENST00000612892
NX_P46091-1	ENST00000621141
NX_P46092-1	ENST00000332438
NX_P46093-1	ENST00000323040
NX_P46094-1	ENST00000309285
NX_P46095-1	ENST00000275169
NX_P46095-1	ENST00000414000
NX_P46095-2	ENST00000414000
NX_P46098-1	ENST00000375498
NX_P46098-1	ENST00000504030
NX_P46098-2	ENST00000355556
NX_P46098-2	ENST00000506841
NX_P46098-3	ENST00000299961
NX_P46098-4	ENST00000375498
NX_P46098-4	ENST00000504030
NX_P46098-5	ENST00000355556
NX_P46098-5	ENST00000506841
NX_P46100-1	ENST00000373344
NX_P46100-2	ENST00000373344
NX_P46100-2	ENST00000395603
NX_P46100-2	ENST00000480283
NX_P46100-3	ENST00000373344
NX_P46100-4	ENST00000395603
NX_P46100-5	ENST00000395603
NX_P46108-1	ENST00000300574
NX_P46108-2	ENST00000398970
NX_P46109-1	ENST00000354336
NX_P46109-1	ENST00000411769
NX_P46199-1	ENST00000263629
NX_P46199-1	ENST00000394600
NX_P46199-1	ENST00000403721
NX_P46379-1	ENST00000375964
NX_P46379-2	ENST00000211379
NX_P46379-2	ENST00000375976
NX_P46379-4	ENST00000439687
NX_P46379-5	ENST00000362049
NX_P46439-1	ENST00000256593
NX_P46459-1	ENST00000398238
NX_P46527-1	ENST00000228872
NX_P46531-1	ENST00000277541
NX_P46597-1	ENST00000381229
NX_P46597-2	ENST00000381233
NX_P46597-3	ENST00000381241
NX_P46663-1	ENST00000216629
NX_P46663-1	ENST00000611804
NX_P46695-1	ENST00000259874
NX_P46721-1	ENST00000307378
NX_P46721-2	ENST00000463718
NX_P46734-1	ENST00000342679
NX_P46734-2	ENST00000316920
NX_P46734-2	ENST00000342679
NX_P46734-2	ENST00000361818
NX_P46734-2	ENST00000395491
NX_P46734-2	ENST00000613338
NX_P46736-1	ENST00000369462
NX_P46736-2	ENST00000330045
NX_P46736-3	ENST00000340647
NX_P46736-4	ENST00000369462
NX_P46736-5	ENST00000369459
NX_P46776-1	ENST00000314138
NX_P46777-1	ENST00000370321
NX_P46778-1	ENST00000272274
NX_P46778-1	ENST00000311549
NX_P46778-1	ENST00000319826
NX_P46778-1	ENST00000326092
NX_P46779-1	ENST00000344063
NX_P46779-1	ENST00000559463
NX_P46779-2	ENST00000560583
NX_P46779-3	ENST00000558815
NX_P46779-4	ENST00000428193
NX_P46779-5	ENST00000431533
NX_P46781-1	ENST00000302907
NX_P46781-1	ENST00000391752
NX_P46781-1	ENST00000391753
NX_P46782-1	ENST00000196551
NX_P46782-1	ENST00000596046
NX_P46782-1	ENST00000601521
NX_P46783-1	ENST00000326199
NX_P46783-1	ENST00000621356
NX_P46821-1	ENST00000296755
NX_P46926-1	ENST00000311337
NX_P46926-1	ENST00000500692
NX_P46926-1	ENST00000503794
NX_P46926-1	ENST00000508177
NX_P46934-1	ENST00000508342
NX_P46934-2	ENST00000506154
NX_P46934-3	ENST00000338963
NX_P46934-4	ENST00000435532
NX_P46937-1	ENST00000282441
NX_P46937-2	ENST00000531439
NX_P46937-3	ENST00000629586
NX_P46937-4	ENST00000282441
NX_P46937-4	ENST00000524575
NX_P46937-5	ENST00000526343
NX_P46937-7	ENST00000345877
NX_P46937-8	ENST00000537274
NX_P46937-9	ENST00000615667
NX_P46939-1	ENST00000367545
NX_P46939-4	ENST00000367545
NX_P46940-1	ENST00000268182
NX_P46952-1	ENST00000294973
NX_P46976-1	ENST00000345003
NX_P46976-2	ENST00000296048
NX_P46976-3	ENST00000484197
NX_P46977-1	ENST00000392708
NX_P46977-1	ENST00000529196
NX_P46977-2	ENST00000392708
NX_P46977-2	ENST00000529196
NX_P46977-2	ENST00000531491
NX_P47211-1	ENST00000299727
NX_P47224-1	ENST00000367262
NX_P47710-1	ENST00000246891
NX_P47710-4	ENST00000507763
NX_P47712-1	ENST00000367466
NX_P47736-1	ENST00000374761
NX_P47736-1	ENST00000374765
NX_P47736-1	ENST00000495204
NX_P47736-2	ENST00000542643
NX_P47736-4	ENST00000495204
NX_P47755-1	ENST00000361183
NX_P47756-1	ENST00000375142
NX_P47756-2	ENST00000264202
NX_P47775-1	ENST00000381436
NX_P47775-1	ENST00000405846
NX_P47804-2	ENST00000359452
NX_P47804-3	ENST00000358110
NX_P47813-1	ENST00000379607
NX_P47869-1	ENST00000356504
NX_P47869-1	ENST00000381620
NX_P47869-1	ENST00000510861
NX_P47869-1	ENST00000514090
NX_P47869-2	ENST00000630416
NX_P47870-1	ENST00000353437
NX_P47870-1	ENST00000520240
NX_P47870-2	ENST00000274547
NX_P47870-2	ENST00000393959
NX_P47870-3	ENST00000612710
NX_P47871-1	ENST00000400723
NX_P47872-1	ENST00000019103
NX_P47874-1	ENST00000529803
NX_P47881-1	ENST00000323404
NX_P47881-1	ENST00000615105
NX_P47887-1	ENST00000248384
NX_P47888-1	ENST00000291231
NX_P47890-1	ENST00000328890
NX_P47893-1	ENST00000408891
NX_P47895-1	ENST00000329841
NX_P47897-1	ENST00000306125
NX_P47897-2	ENST00000414533
NX_P47898-1	ENST00000287907
NX_P47900-1	ENST00000305097
NX_P47901-1	ENST00000367126
NX_P47902-1	ENST00000231656
NX_P47902-2	ENST00000231656
NX_P47902-2	ENST00000616154
NX_P47914-1	ENST00000294189
NX_P47914-1	ENST00000466397
NX_P47914-1	ENST00000475248
NX_P47914-1	ENST00000479017
NX_P47914-1	ENST00000492277
NX_P47914-1	ENST00000495383
NX_P47928-1	ENST00000378700
NX_P47929-1	ENST00000378626
NX_P47944-1	ENST00000219162
NX_P47972-1	ENST00000265634
NX_P47974-1	ENST00000282388
NX_P47985-1	ENST00000304863
NX_P47989-1	ENST00000379416
NX_P47992-1	ENST00000367818
NX_P48023-1	ENST00000367721
NX_P48023-2	ENST00000340030
NX_P48029-1	ENST00000253122
NX_P48029-3	ENST00000253122
NX_P48029-3	ENST00000430077
NX_P48029-4	ENST00000253122
NX_P48029-4	ENST00000430077
NX_P48039-1	ENST00000307161
NX_P48047-1	ENST00000290299
NX_P48048-1	ENST00000392664
NX_P48048-2	ENST00000324036
NX_P48048-2	ENST00000392664
NX_P48048-2	ENST00000392665
NX_P48048-2	ENST00000392666
NX_P48048-2	ENST00000440599
NX_P48048-3	ENST00000440599
NX_P48050-1	ENST00000303592
NX_P48051-1	ENST00000609713
NX_P48052-1	ENST00000222481
NX_P48058-1	ENST00000282499
NX_P48058-1	ENST00000530497
NX_P48058-2	ENST00000393125
NX_P48058-2	ENST00000428631
NX_P48059-1	ENST00000332345
NX_P48059-1	ENST00000338045
NX_P48059-1	ENST00000393310
NX_P48059-1	ENST00000409441
NX_P48059-1	ENST00000410093
NX_P48059-1	ENST00000544547
NX_P48059-2	ENST00000544547
NX_P48059-3	ENST00000338045
NX_P48059-4	ENST00000410093
NX_P48059-5	ENST00000409441
NX_P48060-1	ENST00000266659
NX_P48061-1	ENST00000374429
NX_P48061-2	ENST00000343575
NX_P48061-3	ENST00000374426
NX_P48061-4	ENST00000395794
NX_P48061-7	ENST00000395793
NX_P48061-7	ENST00000395795
NX_P48065-1	ENST00000359674
NX_P48065-1	ENST00000397296
NX_P48065-1	ENST00000424061
NX_P48065-1	ENST00000536824
NX_P48066-1	ENST00000254488
NX_P48066-2	ENST00000454147
NX_P48067-1	ENST00000360584
NX_P48067-2	ENST00000372310
NX_P48067-3	ENST00000357730
NX_P48145-1	ENST00000331251
NX_P48146-1	ENST00000369768
NX_P48147-1	ENST00000369110
NX_P48163-1	ENST00000369705
NX_P48163-2	ENST00000369705
NX_P48165-1	ENST00000369235
NX_P48167-1	ENST00000264428
NX_P48167-1	ENST00000509282
NX_P48167-2	ENST00000541722
NX_P48169-1	ENST00000264318
NX_P48200-1	ENST00000258886
NX_P48200-2	ENST00000560440
NX_P48201-1	ENST00000284727
NX_P48201-1	ENST00000392541
NX_P48201-1	ENST00000409194
NX_P48230-1	ENST00000305354
NX_P48304-1	ENST00000305089
NX_P48307-1	ENST00000222543
NX_P48357-1	ENST00000349533
NX_P48357-2	ENST00000371060
NX_P48357-2	ENST00000616738
NX_P48357-3	ENST00000371059
NX_P48357-4	ENST00000344610
NX_P48357-4	ENST00000371058
NX_P48378-1	ENST00000303657
NX_P48378-1	ENST00000359161
NX_P48378-2	ENST00000592546
NX_P48380-1	ENST00000382004
NX_P48380-1	ENST00000617270
NX_P48380-2	ENST00000358730
NX_P48380-3	ENST00000302303
NX_P48382-1	ENST00000290524
NX_P48382-1	ENST00000368870
NX_P48382-1	ENST00000452671
NX_P48426-1	ENST00000376573
NX_P48426-2	ENST00000376573
NX_P48426-2	ENST00000545335
NX_P48431-1	ENST00000325404
NX_P48436-1	ENST00000245479
NX_P48443-1	ENST00000359842
NX_P48444-1	ENST00000264028
NX_P48444-2	ENST00000392859
NX_P48448-1	ENST00000349015
NX_P48448-1	ENST00000530069
NX_P48449-1	ENST00000356396
NX_P48449-1	ENST00000397728
NX_P48449-2	ENST00000356396
NX_P48449-2	ENST00000397728
NX_P48449-2	ENST00000457828
NX_P48449-3	ENST00000522411
NX_P48454-1	ENST00000240139
NX_P48454-2	ENST00000289963
NX_P48454-3	ENST00000397775
NX_P48506-1	ENST00000229416
NX_P48507-1	ENST00000370238
NX_P48507-2	ENST00000615724
NX_P48509-1	ENST00000322008
NX_P48509-1	ENST00000397420
NX_P48509-1	ENST00000397421
NX_P48509-1	ENST00000530726
NX_P48539-1	ENST00000328619
NX_P48544-1	ENST00000338350
NX_P48544-1	ENST00000529694
NX_P48544-1	ENST00000533599
NX_P48546-1	ENST00000590918
NX_P48546-2	ENST00000263281
NX_P48546-3	ENST00000304207
NX_P48547-1	ENST00000379472
NX_P48547-2	ENST00000265969
NX_P48549-1	ENST00000295101
NX_P48549-2	ENST00000544049
NX_P48551-1	ENST00000342136
NX_P48551-2	ENST00000382264
NX_P48551-2	ENST00000404220
NX_P48551-3	ENST00000342101
NX_P48552-1	ENST00000318948
NX_P48552-1	ENST00000400199
NX_P48552-1	ENST00000400202
NX_P48553-1	ENST00000291574
NX_P48553-2	ENST00000380221
NX_P48556-1	ENST00000215071
NX_P48556-1	ENST00000620216
NX_P48594-1	ENST00000341074
NX_P48595-1	ENST00000238508
NX_P48595-1	ENST00000619595
NX_P48634-1	ENST00000376007
NX_P48634-1	ENST00000376033
NX_P48637-1	ENST00000216951
NX_P48637-2	ENST00000451957
NX_P48643-1	ENST00000280326
NX_P48643-2	ENST00000506600
NX_P48643-2	ENST00000515390
NX_P48645-1	ENST00000264218
NX_P48651-1	ENST00000517309
NX_P48651-2	ENST00000337004
NX_P48651-2	ENST00000517309
NX_P48651-3	ENST00000522072
NX_P48664-1	ENST00000221742
NX_P48664-2	ENST00000544886
NX_P48664-2	ENST00000598504
NX_P48668-1	ENST00000252250
NX_P48681-1	ENST00000368223
NX_P48723-1	ENST00000285667
NX_P48728-1	ENST00000273588
NX_P48728-2	ENST00000636522
NX_P48728-3	ENST00000458307
NX_P48728-4	ENST00000395338
NX_P48729-1	ENST00000377843
NX_P48729-2	ENST00000515768
NX_P48729-3	ENST00000261798
NX_P48730-1	ENST00000314028
NX_P48730-2	ENST00000392334
NX_P48735-1	ENST00000330062
NX_P48735-2	ENST00000330062
NX_P48735-2	ENST00000540499
NX_P48736-1	ENST00000359195
NX_P48736-1	ENST00000440650
NX_P48736-1	ENST00000496166
NX_P48739-1	ENST00000335272
NX_P48739-2	ENST00000320996
NX_P48739-3	ENST00000634017
NX_P48740-1	ENST00000337774
NX_P48740-2	ENST00000296280
NX_P48740-3	ENST00000169293
NX_P48740-4	ENST00000296280
NX_P48740-4	ENST00000392472
NX_P48741-1	ENST00000445535
NX_P48742-1	ENST00000614239
NX_P48745-1	ENST00000259526
NX_P48751-1	ENST00000317151
NX_P48751-1	ENST00000358055
NX_P48751-1	ENST00000373760
NX_P48751-3	ENST00000273063
NX_P48764-1	ENST00000264938
NX_P48764-2	ENST00000514375
NX_P48775-1	ENST00000536354
NX_P48788-1	ENST00000252898
NX_P48788-1	ENST00000381906
NX_P48788-1	ENST00000381911
NX_P48788-2	ENST00000381905
NX_P48960-1	ENST00000242786
NX_P48960-2	ENST00000358600
NX_P48960-3	ENST00000357355
NX_P48995-1	ENST00000476941
NX_P48995-2	ENST00000273482
NX_P48995-2	ENST00000612385
NX_P49005-1	ENST00000406581
NX_P49005-1	ENST00000452185
NX_P49005-1	ENST00000610533
NX_P49006-1	ENST00000329421
NX_P49019-1	ENST00000528880
NX_P49023-1	ENST00000228307
NX_P49023-2	ENST00000424649
NX_P49023-3	ENST00000267257
NX_P49023-4	ENST00000424649
NX_P49023-4	ENST00000458477
NX_P49069-1	ENST00000297156
NX_P49116-1	ENST00000393102
NX_P49116-1	ENST00000406272
NX_P49116-1	ENST00000425241
NX_P49116-2	ENST00000323373
NX_P49116-2	ENST00000617312
NX_P49137-1	ENST00000367103
NX_P49137-2	ENST00000294981
NX_P49146-1	ENST00000329476
NX_P49146-1	ENST00000506608
NX_P49184-1	ENST00000014935
NX_P49184-1	ENST00000309585
NX_P49184-1	ENST00000369807
NX_P49184-1	ENST00000369808
NX_P49184-1	ENST00000369809
NX_P49184-1	ENST00000393638
NX_P49189-1	ENST00000354775
NX_P49189-2	ENST00000354775
NX_P49190-1	ENST00000272847
NX_P49207-1	ENST00000394665
NX_P49207-1	ENST00000394667
NX_P49207-1	ENST00000394668
NX_P49207-1	ENST00000502534
NX_P49207-1	ENST00000506397
NX_P49221-1	ENST00000296125
NX_P49223-1	ENST00000217428
NX_P49238-1	ENST00000358309
NX_P49238-1	ENST00000399220
NX_P49238-1	ENST00000541347
NX_P49238-1	ENST00000542107
NX_P49238-3	ENST00000358309
NX_P49238-4	ENST00000358309
NX_P49247-1	ENST00000283646
NX_P49257-1	ENST00000251047
NX_P49279-1	ENST00000233202
NX_P49279-2	ENST00000354352
NX_P49281-1	ENST00000262051
NX_P49281-1	ENST00000546636
NX_P49281-1	ENST00000547198
NX_P49281-2	ENST00000262052
NX_P49281-2	ENST00000394904
NX_P49281-2	ENST00000541174
NX_P49281-2	ENST00000547688
NX_P49281-3	ENST00000394904
NX_P49281-3	ENST00000547688
NX_P49281-5	ENST00000545993
NX_P49286-1	ENST00000257068
NX_P49321-1	ENST00000350030
NX_P49321-2	ENST00000351223
NX_P49321-4	ENST00000537798
NX_P49326-1	ENST00000254090
NX_P49326-2	ENST00000369272
NX_P49326-3	ENST00000441068
NX_P49326-3	ENST00000578284
NX_P49327-1	ENST00000306749
NX_P49335-1	ENST00000373200
NX_P49336-1	ENST00000381527
NX_P49354-1	ENST00000302279
