biosequence_name	is_covering	presence_level	probability	confidence	n_observations	norm_PSMs_per_100K	n_distinct_peptides	chromosome	genetic_locus	start_in_chromosome	end_in_chromosome	strand	relationship_phrase	reference_biosequence	represented_by_biosequence_id	group_number	seq_unique_prots_in_group	protein_group_seq_align_link	is_keratin	is_immunoglobulin	biosequence_description	organism_full_name
P14784	C	canonical	  1.000	  1.000	6	  1.356	3	22	22q12.3	37521878	37546030	-			P14784	272	4				IL2RB_HUMAN Interleukin-2 receptor subunit beta OS=Homo sapiens GN=IL2RB PE=1 SV=1 CONCAT=10	Homo sapiens
P02656	C	canonical	  0.024	  1.000	12	 11.749	5	11	11q23.3	116700608	116703788	+			P02656	273	4				APOC3_HUMAN Apolipoprotein C-III OS=Homo sapiens GN=APOC3 PE=1 SV=1 CONCAT=8	Homo sapiens
Q8IWY4	C	canonical	  0.000	  1.000	5	  0.653	3	22	22q13.2	43593289	43739394	-			Q8IWY4	274	4				SCUB1_HUMAN Signal peptide, CUB and EGF-like domain-containing protein 1 OS=Homo sapiens GN=SCUBE1 PE=1 SV=3 CONCAT=8	Homo sapiens
P23142	C	canonical	  0.052	  1.000	100	 17.278	22	22	22q13.31	0	0	 			P23142-4	275	16				FBLN1_HUMAN Fibulin-1 OS=Homo sapiens GN=FBLN1 PE=1 SV=4 CONCAT=9	Homo sapiens
P23142-4	C	canonical	  1.000	  1.000	204	 37.449	22	22	22q13.31	0	0	 			P23142-4	275	16				FBLN1_HUMAN Isoform C of Fibulin-1 OS=Homo sapiens GN=FBLN1	Homo sapiens
P47756-2	C	canonical	  1.000	  1.000	14	  5.140	10	1	1p36.13	19669256	19811981	-			P47756-2	276	8				CAPZB_HUMAN Isoform 2 of F-actin-capping protein subunit beta OS=Homo sapiens GN=CAPZB	Homo sapiens
P29323	C	canonical	  1.000	  1.000	29	  3.155	13	1	1p36.12	23037458	23240236	+			P29323	277	6				EPHB2_HUMAN Ephrin type-B receptor 2 OS=Homo sapiens GN=EPHB2 PE=1 SV=5 CONCAT=16	Homo sapiens
P19256	C	canonical	  1.000	  1.000	15	  8.812	4	1	1p13.1	117057157	117113661	-			P19256	278	6				LFA3_HUMAN Lymphocyte function-associated antigen 3 OS=Homo sapiens GN=CD58 PE=1 SV=1 CONCAT=8	Homo sapiens
P08174-2	C	canonical	  1.000	  1.000	202	 45.639	27	1	1q32	0	0	 			P08174-2	279	20				DAF_HUMAN Isoform 1 of Complement decay-accelerating factor OS=Homo sapiens GN=CD55	Homo sapiens
P15941-11	C	canonical	  1.000	  1.000	202	 91.278	10	1	1q21	0	0	 			P15941-11	280	33				MUC1_HUMAN Isoform Y-LSP of Mucin-1 OS=Homo sapiens GN=MUC1	Homo sapiens
P07602	C	canonical	  0.240	  1.000	466	 91.248	56	10	10q21-q22	0	0	 			P07602	281	9				SAP_HUMAN Prosaposin OS=Homo sapiens GN=PSAP PE=1 SV=2 CONCAT=46	Homo sapiens
Q86TH1	C	canonical	  1.000	  1.000	15	  1.916	6	9	9q34.2	136397286	136440641	+			Q86TH1	282	3				ATL2_HUMAN ADAMTS-like protein 2 OS=Homo sapiens GN=ADAMTSL2 PE=1 SV=1 CONCAT=22	Homo sapiens
Q8IUK5	C	canonical	  1.000	  1.000	3	  0.678	3	17	17q12	37219556	37307902	-			Q8IUK5	283	10				PLDX1_HUMAN Plexin domain-containing protein 1 OS=Homo sapiens GN=PLXDC1 PE=1 SV=2 CONCAT=7	Homo sapiens
Q13361	C	canonical	  1.000	  1.000	3	  2.203	3	12	12p13.31	8798552	8815408	-			Q13361	284	8				MFAP5_HUMAN Microfibrillar-associated protein 5 OS=Homo sapiens GN=MFAP5 PE=1 SV=1 CONCAT=7	Homo sapiens
Q9UJU6	C	canonical	  1.000	  1.000	4	  1.068	3	7	7p13	0	0	 			Q9UJU6	285	12				DBNL_HUMAN Drebrin-like protein OS=Homo sapiens GN=DBNL PE=1 SV=1 CONCAT=1	Homo sapiens
Q9P0J0	C	canonical	  1.000	  1.000	3	  2.203	3	19	19p13.11	19626564	19639007	+			Q9P0J0	286	7				NDUAD_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 OS=Homo sapiens GN=NDUFA13 PE=1 SV=3 CONCAT=5	Homo sapiens
P48735	C	canonical	  1.000	  1.000	20	  4.699	12	15	15q26.1	90626277	90645736	-			P48735	287	5				IDHP_HUMAN Isocitrate dehydrogenase [NADP], mitochondrial OS=Homo sapiens GN=IDH2 PE=1 SV=2 CONCAT=5	Homo sapiens
Q96CM8	C	canonical	  1.000	  1.000	3	  0.629	3	17	17q21.33	48503519	48552196	+			Q96CM8	288	6				ACSF2_HUMAN Acyl-CoA synthetase family member 2, mitochondrial OS=Homo sapiens GN=ACSF2 PE=1 SV=2 CONCAT=5	Homo sapiens
Q9NVH1	C	canonical	  1.000	  1.000	3	  0.608	3	1	1p36.31	6695173	6761984	-			Q9NVH1	289	8				DJC11_HUMAN DnaJ homolog subfamily C member 11 OS=Homo sapiens GN=DNAJC11 PE=1 SV=2 CONCAT=5	Homo sapiens
P27824	C	canonical	  1.000	  1.000	11	  2.308	7	5	5q35.3	179125907	179157926	+			P27824	290	18				CALX_HUMAN Calnexin OS=Homo sapiens GN=CANX PE=1 SV=2 CONCAT=6	Homo sapiens
O75390	C	canonical	  1.000	  1.000	5	  1.277	3	12	12q13.3	56665485	56694176	-			O75390	291	21				CISY_HUMAN Citrate synthase, mitochondrial OS=Homo sapiens GN=CS PE=1 SV=2 CONCAT=4	Homo sapiens
Q8TE68	C	canonical	  1.000	  1.000	27	  3.965	11	19	19q13.42	55587269	55599290	+			Q8TE68	292	9				ES8L1_HUMAN Epidermal growth factor receptor kinase substrate 8-like protein 1 OS=Homo sapiens GN=EPS8L1 PE=1 SV=3 CONCAT=7	Homo sapiens
P40227	C	canonical	  1.000	  1.000	5	  1.049	4	7	7p11.2	56119323	56131682	+			P40227	293	4				TCPZ_HUMAN T-complex protein 1 subunit zeta OS=Homo sapiens GN=CCT6A PE=1 SV=3 CONCAT=3	Homo sapiens
P52209	C	canonical	  1.000	  1.000	72	 17.623	22	1	1p36.22	10459137	10480201	+			P52209	294	15				6PGD_HUMAN 6-phosphogluconate dehydrogenase, decarboxylating OS=Homo sapiens GN=PGD PE=1 SV=3 CONCAT=3	Homo sapiens
O60814	C	canonical	  1.000	  1.000	60	 50.352	6	6	6p22.1	27114197	27114577	-			O60814	295	22				H2B1K_HUMAN Histone H2B type 1-K OS=Homo sapiens GN=HIST1H2BK PE=1 SV=3 CONCAT=2	Homo sapiens
P06899	C	canonical	  1.000	  1.000	56	 46.995	6	6	6p22.1	27100149	27100529	-			O60814	295	22				H2B1J_HUMAN Histone H2B type 1-J OS=Homo sapiens GN=HIST1H2BJ PE=1 SV=3 CONCAT=2	Homo sapiens
O00506	C	canonical	  0.996	  1.000	4	  0.979	3	2	2q37.3	242432089	242448107	-			Q9Y6E0-2	296	26				STK25_HUMAN Serine/threonine-protein kinase 25 OS=Homo sapiens GN=STK25 PE=1 SV=1 CONCAT=2	Homo sapiens
Q9P289		canonical	  0.020	  1.000	7	  1.645	4	X	Xq26.2	0	0	 			Q9Y6E0-2	296	26				MST4_HUMAN Serine/threonine-protein kinase MST4 OS=Homo sapiens GN=MST4 PE=1 SV=2 CONCAT=7	Homo sapiens
Q9Y6E0-2	C	canonical	  1.000	  1.000	27	  6.609	8	13	13q32.2	99104413	99174252	-			Q9Y6E0-2	296	26				STK24_HUMAN Isoform A of Serine/threonine-protein kinase 24 OS=Homo sapiens GN=STK24	Homo sapiens
P07910	C	canonical	  1.000	  1.000	4	  1.305	2	14	14q11.2	0	0	 			P07910	297	24				HNRPC_HUMAN Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens GN=HNRNPC PE=1 SV=4 CONCAT=3	Homo sapiens
Q7Z7G0	C	canonical	  1.000	  1.000	10	  1.108	9	3	3q12.2	100468179	100712359	-			Q7Z7G0	298	9				TARSH_HUMAN Target of Nesh-SH3 OS=Homo sapiens GN=ABI3BP PE=1 SV=1 CONCAT=6	Homo sapiens
P22732	C	canonical	  1.000	  1.000	41	 15.053	5	1	1p36.23	9100139	9129663	-			P22732	299	9				GTR5_HUMAN Solute carrier family 2, facilitated glucose transporter member 5 OS=Homo sapiens GN=SLC2A5 PE=1 SV=1 CONCAT=1	Homo sapiens
O15162	C	canonical	  1.000	  1.000	28	 14.953	5	3	3q24	146232967	146262651	-			O15162	300	7				PLS1_HUMAN Phospholipid scramblase 1 OS=Homo sapiens GN=PLSCR1 PE=1 SV=1 CONCAT=2	Homo sapiens
Q13126	C	canonical	  1.000	  1.000	3	  0.979	3	9	9p21	0	0	 			Q13126	301	12				MTAP_HUMAN S-methyl-5'-thioadenosine phosphorylase OS=Homo sapiens GN=MTAP PE=1 SV=2 CONCAT=2	Homo sapiens
P0CG47	C	canonical	  1.000	  1.000	296	124.201	14	17	17p11.2-p12	0	0	 			P0CG47	302	35				UBB_HUMAN Polyubiquitin-B OS=Homo sapiens GN=UBB PE=1 SV=1 CONCAT=6	Homo sapiens
P40616	C	canonical	  1.000	  1.000	2	  1.305	2	12	12q23.2	101786898	101801598	-			P40616	303	8				ARL1_HUMAN ADP-ribosylation factor-like protein 1 OS=Homo sapiens GN=ARL1 PE=1 SV=1 CONCAT=2	Homo sapiens
P35606	C	canonical	  1.000	  1.000	16	  1.843	8	3	3q23	139076248	139108574	-			P35606	304	9				COPB2_HUMAN Coatomer subunit beta' OS=Homo sapiens GN=COPB2 PE=1 SV=2 CONCAT=2	Homo sapiens
P29401	C	canonical	  1.000	  1.000	17	  3.221	7	3	3p21.1	53259673	53290038	-			P29401	305	5				TKT_HUMAN Transketolase OS=Homo sapiens GN=TKT PE=1 SV=3 CONCAT=2	Homo sapiens
P11233	C	canonical	  1.000	  1.000	26	 15.273	7	7	7p14.1	39663082	39747723	+			P11234	306	10				RALA_HUMAN Ras-related protein Ral-A OS=Homo sapiens GN=RALA PE=1 SV=1 CONCAT=4	Homo sapiens
P11234	C	canonical	  1.000	  1.000	43	 28.066	10	2	2q14.2	121010334	121052289	+			P11234	306	10				RALB_HUMAN Ras-related protein Ral-B OS=Homo sapiens GN=RALB PE=1 SV=1 CONCAT=4	Homo sapiens
P51570	C	canonical	  1.000	  1.000	3	  0.881	3	17	17q25.1	73747675	73761317	-			P51570	307	5				GALK1_HUMAN Galactokinase OS=Homo sapiens GN=GALK1 PE=1 SV=1 CONCAT=17	Homo sapiens
P13473	C	canonical	  1.000	  1.000	49	 13.707	5	X	Xq24	119564681	119603161	-			P13473	308	7				LAMP2_HUMAN Lysosome-associated membrane glycoprotein 2 OS=Homo sapiens GN=LAMP2 PE=1 SV=2 CONCAT=8	Homo sapiens
P27105	C	canonical	  1.000	  1.000	182	 71.275	15	9	9q33.2	124101355	124132483	-			P27105	309	7				STOM_HUMAN Erythrocyte band 7 integral membrane protein OS=Homo sapiens GN=STOM PE=1 SV=3 CONCAT=1	Homo sapiens
Q15019	C	canonical	  1.000	  1.000	7	  2.056	3	2	2q37.3	242254704	242293439	+			Q15019	310	13				SEPT2_HUMAN Septin-2 OS=Homo sapiens GN=SEPT2 PE=1 SV=1 CONCAT=1	Homo sapiens
P62826	C	canonical	  1.000	  1.000	14	  7.476	7	12	12q24.3	0	0	 			P62826	311	8				RAN_HUMAN GTP-binding nuclear protein Ran OS=Homo sapiens GN=RAN PE=1 SV=3 CONCAT=3	Homo sapiens
Q9P121	C	canonical	  1.000	  1.000	10	  3.092	6	11	11q25	131781362	132184964	+			Q9P121	312	8				NTRI_HUMAN Neurotrimin OS=Homo sapiens GN=NTM PE=1 SV=1 CONCAT=10	Homo sapiens
P38606	C	canonical	  1.000	  1.000	58	  9.735	15	3	3q13.2	113465866	113530903	+			P38606	313	5				VATA_HUMAN V-type proton ATPase catalytic subunit A OS=Homo sapiens GN=ATP6V1A PE=1 SV=2 CONCAT=1	Homo sapiens
P13716	C	canonical	  1.000	  1.000	12	  4.147	7	9	9q32	116148597	116163613	-			P13716	314	6				HEM2_HUMAN Delta-aminolevulinic acid dehydratase OS=Homo sapiens GN=ALAD PE=1 SV=1 CONCAT=9	Homo sapiens
P55786	C	canonical	  1.000	  1.000	20	  2.304	10	17	17q21.32	45608430	45700642	+			P55786	315	25				PSA_HUMAN Puromycin-sensitive aminopeptidase OS=Homo sapiens GN=NPEPPS PE=1 SV=2 CONCAT=1	Homo sapiens
P20810	C	canonical	  1.000	  1.000	3	  0.476	3	5	5q15	96038505	96110387	+			P20810	316	28				ICAL_HUMAN Calpastatin OS=Homo sapiens GN=CAST PE=1 SV=4 CONCAT=5	Homo sapiens
P62899	C	canonical	  1.000	  1.000	4	  3.357	2	2	2q11.2	101618177	101623729	+			P62899	317	8				RL31_HUMAN 60S ribosomal protein L31 OS=Homo sapiens GN=RPL31 PE=1 SV=1 CONCAT=1	Homo sapiens
O00115	C	canonical	  1.000	  1.000	9	  3.110	4	19	19p13.2	12986025	12992282	-			O00115	318	3				DNS2A_HUMAN Deoxyribonuclease-2-alpha OS=Homo sapiens GN=DNASE2 PE=1 SV=2 CONCAT=10	Homo sapiens
Q99571	C	canonical	  1.000	  1.000	3	  0.881	3	12	12q24.2	0	0	 			Q99571	319	4				P2RX4_HUMAN P2X purinoceptor 4 OS=Homo sapiens GN=P2RX4 PE=1 SV=2 CONCAT=4	Homo sapiens
Q9H7P6	C	canonical	  1.000	  1.000	3	  1.037	2	9	9q33.3	129089128	129269320	+			Q9H7P6	320	6				MB12B_HUMAN Multivesicular body subunit 12B OS=Homo sapiens GN=MVB12B PE=1 SV=2 CONCAT=1	Homo sapiens
P60660	C	canonical	  1.000	  1.000	22	 12.924	8	12	12q13.2	56552146	56555358	+			P60660	321	24				MYL6_HUMAN Myosin light polypeptide 6 OS=Homo sapiens GN=MYL6 PE=1 SV=2 CONCAT=4	Homo sapiens
Q9NZH0	C	canonical	  1.000	  1.000	36	 14.098	4	16	16p12.3	19868616	19896239	-			Q9NZH0	322	6				GPC5B_HUMAN G-protein coupled receptor family C group 5 member B OS=Homo sapiens GN=GPRC5B PE=2 SV=2 CONCAT=6	Homo sapiens
P50991	C	canonical	  1.000	  1.000	6	  1.068	4	2	2p15	62095224	62115939	-			P50991	323	5				TCPD_HUMAN T-complex protein 1 subunit delta OS=Homo sapiens GN=CCT4 PE=1 SV=4 CONCAT=3	Homo sapiens
P28332	C	canonical	  1.000	  1.000	2	  0.653	2	4	4q23	100125879	100140694	-			P28332	324	4				ADH6_HUMAN Alcohol dehydrogenase 6 OS=Homo sapiens GN=ADH6 PE=2 SV=2 CONCAT=4	Homo sapiens
P61604	C	canonical	  1.000	  1.000	4	  2.937	3	2	2q33.1	198364718	198368181	+			P61604	325	4				CH10_HUMAN 10 kDa heat shock protein, mitochondrial OS=Homo sapiens GN=HSPE1 PE=1 SV=2 CONCAT=2	Homo sapiens
P06454	C	canonical	  1.000	  1.000	13	 19.092	8	2	2q37.1	232573226	232578246	+			P06454	326	12				PTMA_HUMAN Prothymosin alpha OS=Homo sapiens GN=PTMA PE=1 SV=2 CONCAT=4	Homo sapiens
Q92956	C	canonical	  1.000	  1.000	32	 15.665	5	1	1p36.32	2487805	2495268	+			Q92956	327	7				TNR14_HUMAN Tumor necrosis factor receptor superfamily member 14 OS=Homo sapiens GN=TNFRSF14 PE=1 SV=3 CONCAT=11	Homo sapiens
Q8N114	C	canonical	  1.000	  1.000	13	  9.546	4	3	3p21.31	48509197	48541864	-			Q8N114	328	5				SHSA5_HUMAN Protein shisa-5 OS=Homo sapiens GN=SHISA5 PE=1 SV=1 CONCAT=7	Homo sapiens
Q9UQN3	C	canonical	  1.000	  1.000	26	 13.885	3	3	3p11.2	87276435	87304698	+			Q9UQN3	329	3				CHM2B_HUMAN Charged multivesicular body protein 2b OS=Homo sapiens GN=CHMP2B PE=1 SV=1 CONCAT=7	Homo sapiens
P35080	C	canonical	  1.000	  1.000	3	  2.518	2	3	3q25.1	149682691	149688896	-			P35080	330	7				PROF2_HUMAN Profilin-2 OS=Homo sapiens GN=PFN2 PE=1 SV=3 CONCAT=2	Homo sapiens
P30626	C	canonical	  1.000	  1.000	19	  9.301	6	7	7q21.12	87834433	87849394	-			P30626	331	5				SORCN_HUMAN Sorcin OS=Homo sapiens GN=SRI PE=1 SV=1 CONCAT=1	Homo sapiens
P19801-2	C	canonical	  1.000	  1.000	115	 17.322	26	7	7q36.1	150549565	150558592	+			P19801-2	332	11				AOC1_HUMAN Isoform 2 of Amiloride-sensitive amine oxidase [copper-containing] OS=Homo sapiens GN=AOC1	Homo sapiens
Q9NQS3	C	canonical	  1.000	  1.000	3	  0.801	2	3	3q13.13	110790715	110852837	+			Q9NQS3	333	7				PVRL3_HUMAN Nectin-3 OS=Homo sapiens GN=PVRL3 PE=1 SV=1 CONCAT=6	Homo sapiens
Q6XQN6	C	canonical	  1.000	  1.000	4	  0.870	3	8	8q24.3	144656957	144660513	-			Q6XQN6	334	8				PNCB_HUMAN Nicotinate phosphoribosyltransferase OS=Homo sapiens GN=NAPRT1 PE=1 SV=2 CONCAT=2	Homo sapiens
Q969P0-3	C	canonical	  1.000	  1.000	90	 19.581	12	1	1q23.2	160061130	160068479	-			Q969P0-3	335	5				IGSF8_HUMAN Isoform 3 of Immunoglobulin superfamily member 8 OS=Homo sapiens GN=IGSF8	Homo sapiens
P08865	C	canonical	  1.000	  1.000	15	  6.294	8	3	3p21.3	0	0	 			P08865	336	10				RSSA_HUMAN 40S ribosomal protein SA OS=Homo sapiens GN=RPSA PE=1 SV=4 CONCAT=3	Homo sapiens
P10646	C	canonical	  1.000	  1.000	8	  3.357	4	2	2q32.1	188328960	188419219	-			P10646	337	6				TFPI1_HUMAN Tissue factor pathway inhibitor OS=Homo sapiens GN=TFPI PE=1 SV=1 CONCAT=7	Homo sapiens
P09110	C	canonical	  1.000	  1.000	2	  0.618	2	3	3p22.2	38164201	38178733	-			P09110	338	6				THIK_HUMAN 3-ketoacyl-CoA thiolase, peroxisomal OS=Homo sapiens GN=ACAA1 PE=1 SV=2 CONCAT=6	Homo sapiens
Q9UJ70	C	canonical	  1.000	  1.000	7	  2.056	6	2	2p13.3	71295752	71305695	+			Q9UJ70	339	12				NAGK_HUMAN N-acetyl-D-glucosamine kinase OS=Homo sapiens GN=NAGK PE=1 SV=4 CONCAT=5	Homo sapiens
P13798	C	canonical	  1.000	  1.000	4	  0.691	4	3	3p21.31	49711435	49721396	+			P13798	340	6				ACPH_HUMAN Acylamino-acid-releasing enzyme OS=Homo sapiens GN=APEH PE=1 SV=4 CONCAT=2	Homo sapiens
O95747	C	canonical	  1.000	  1.000	4	  0.870	4	3	3p22.2	38206996	38296979	+			O95747	341	7				OXSR1_HUMAN Serine/threonine-protein kinase OSR1 OS=Homo sapiens GN=OXSR1 PE=1 SV=1 CONCAT=5	Homo sapiens
O15393	C	canonical	  1.000	  1.000	16	  4.476	4	21	21q22.3	42836478	42880086	-			O15393	342	5				TMPS2_HUMAN Transmembrane protease serine 2 OS=Homo sapiens GN=TMPRSS2 PE=1 SV=3 CONCAT=8	Homo sapiens
P15313	C	canonical	  1.000	  1.000	21	  4.569	9	2	2p13.3	71163012	71192527	+			P21281	343	11				VATB1_HUMAN V-type proton ATPase subunit B, kidney isoform OS=Homo sapiens GN=ATP6V1B1 PE=1 SV=3 CONCAT=14	Homo sapiens
P21281	C	canonical	  1.000	  1.000	22	  4.971	7	8	8p21.3	20054878	20079212	+			P21281	343	11				VATB2_HUMAN V-type proton ATPase subunit B, brain isoform OS=Homo sapiens GN=ATP6V1B2 PE=1 SV=3 CONCAT=1	Homo sapiens
P48551-2	C	canonical	  1.000	  1.000	2	  0.691	2	21	21q22.11	34602441	34636830	+			P48551-2	344	8				INAR2_HUMAN Isoform 2 of Interferon alpha/beta receptor 2 OS=Homo sapiens GN=IFNAR2	Homo sapiens
P05408	C	canonical	  1.000	  1.000	3	  1.762	2	15	15q13.3	32933877	32989299	+			P05408	345	5				7B2_HUMAN Neuroendocrine protein 7B2 OS=Homo sapiens GN=SCG5 PE=1 SV=2 CONCAT=10	Homo sapiens
Q16653	C	canonical	  1.000	  1.000	3	  1.469	2	6	6p21.3-p22	0	0	 			Q16653	346	36				MOG_HUMAN Myelin-oligodendrocyte glycoprotein OS=Homo sapiens GN=MOG PE=1 SV=2 CONCAT=9	Homo sapiens
Q16563-2	C	canonical	  1.000	  1.000	32	 17.089	4	7	7q22.3	105730951	105753022	-			Q16563-2	347	4				SYPL1_HUMAN Isoform 2 of Synaptophysin-like protein 1 OS=Homo sapiens GN=SYPL1	Homo sapiens
Q9UKZ9	C	canonical	  0.015	  1.000	3	  0.839	3	3	3q23	142536711	142608045	-			Q9UKZ9	348	3				PCOC2_HUMAN Procollagen C-endopeptidase enhancer 2 OS=Homo sapiens GN=PCOLCE2 PE=1 SV=1 CONCAT=8	Homo sapiens
O15145	C	canonical	  1.000	  1.000	17	  9.986	3	12	12q24.11	110872630	110888212	-			O15145	349	4				ARPC3_HUMAN Actin-related protein 2/3 complex subunit 3 OS=Homo sapiens GN=ARPC3 PE=1 SV=3 CONCAT=2	Homo sapiens
O60716	C	canonical	  1.000	  1.000	4	  0.461	3	11	11q11	0	0	 			O60716	350	50				CTND1_HUMAN Catenin delta-1 OS=Homo sapiens GN=CTNND1 PE=1 SV=1 CONCAT=5	Homo sapiens
P61077	C	canonical	  1.000	  1.000	4	  4.699	3	4	4q24	103718392	103748710	-			P61077	351	16				UB2D3_HUMAN Ubiquitin-conjugating enzyme E2 D3 OS=Homo sapiens GN=UBE2D3 PE=1 SV=1 CONCAT=1	Homo sapiens
P32969	C	canonical	  1.000	  1.000	2	  1.305	2	4	4p14	39455744	39460568	-			P32969	352	9				RL9_HUMAN 60S ribosomal protein L9 OS=Homo sapiens GN=RPL9 PE=1 SV=1 CONCAT=1	Homo sapiens
Q12907	C	canonical	  0.157	  1.000	1053	325.563	35	5	5q35.3	176758563	176778853	-			Q12907	353	7				LMAN2_HUMAN Vesicular integral-membrane protein VIP36 OS=Homo sapiens GN=LMAN2 PE=1 SV=1 CONCAT=5	Homo sapiens
P55285	C	canonical	  1.000	  1.000	24	  3.916	12	5	5p13.3	31193857	31329253	+			P55285	354	6				CADH6_HUMAN Cadherin-6 OS=Homo sapiens GN=CDH6 PE=1 SV=1 CONCAT=9	Homo sapiens
Q99715-4	C	canonical	  1.000	  1.000	336	 12.734	55	6	6q13	75794042	75915767	-			Q99715-4	355	8				COCA1_HUMAN Isoform 4 of Collagen alpha-1(XII) chain OS=Homo sapiens GN=COL12A1	Homo sapiens
P14406	C	canonical	  1.000	  1.000	6	  8.812	2	6	6q14.1	75947393	75953644	-			P14406	356	5				CX7A2_HUMAN Cytochrome c oxidase subunit 7A2, mitochondrial OS=Homo sapiens GN=COX7A2 PE=1 SV=1 CONCAT=5	Homo sapiens
P41271	C	canonical	  1.000	  1.000	9	  7.553	6	1	1p36.13	19969726	19983622	+			P41271	357	12				NBL1_HUMAN Neuroblastoma suppressor of tumorigenicity 1 OS=Homo sapiens GN=NBL1 PE=1 SV=2 CONCAT=6	Homo sapiens
O75608	C	canonical	  1.000	  1.000	10	  4.895	4	8	8q11.23	54958938	55014577	-			O75608	358	9				LYPA1_HUMAN Acyl-protein thioesterase 1 OS=Homo sapiens GN=LYPLA1 PE=1 SV=1 CONCAT=2	Homo sapiens
O75347	C	canonical	  1.000	  1.000	2	  1.958	2	5	5q14.1	76986991	77072185	-			O75347	359	5				TBCA_HUMAN Tubulin-specific chaperone A OS=Homo sapiens GN=TBCA PE=1 SV=3 CONCAT=2	Homo sapiens
Q495M3	C	canonical	  1.000	  1.000	14	  3.916	6	5	5q33.1	150694539	150727151	-			Q495M3	360	7				S36A2_HUMAN Proton-coupled amino acid transporter 2 OS=Homo sapiens GN=SLC36A2 PE=1 SV=1 CONCAT=3	Homo sapiens
Q14254	C	canonical	  1.000	  1.000	9	  2.033	6	17	17q11.2	27206353	27224697	-			Q14254	361	4				FLOT2_HUMAN Flotillin-2 OS=Homo sapiens GN=FLOT2 PE=1 SV=2 CONCAT=2	Homo sapiens
Q8N2S1	C	canonical	  1.000	  1.000	23	  1.732	20	19	19q13.2	41103141	41135725	+			Q8N2S1	362	10				LTBP4_HUMAN Latent-transforming growth factor beta-binding protein 4 OS=Homo sapiens GN=LTBP4 PE=1 SV=2 CONCAT=13	Homo sapiens
P48643	C	canonical	  1.000	  1.000	7	  1.209	3	5	5p15.2	10250033	10266524	+			P48643	363	8				TCPE_HUMAN T-complex protein 1 subunit epsilon OS=Homo sapiens GN=CCT5 PE=1 SV=1 CONCAT=4	Homo sapiens
P16070	C	canonical	  1.000	  1.000	578	106.105	14	11	11p13	0	0	 			P16070	364	37				CD44_HUMAN CD44 antigen OS=Homo sapiens GN=CD44 PE=1 SV=3 CONCAT=11	Homo sapiens
P51659	C	canonical	  1.000	  1.000	3	  0.452	3	5	5q23.1	118788138	118878028	+			P51659	365	8				DHB4_HUMAN Peroxisomal multifunctional enzyme type 2 OS=Homo sapiens GN=HSD17B4 PE=1 SV=3 CONCAT=19	Homo sapiens
P28827	C	canonical	  1.000	  1.000	4	  0.336	4	18	18p11.23	7566780	8406859	+			P28827	366	6				PTPRM_HUMAN Receptor-type tyrosine-protein phosphatase mu OS=Homo sapiens GN=PTPRM PE=1 SV=2 CONCAT=7	Homo sapiens
P22105	C	canonical	  1.000	  1.000	178	  4.731	68	6	6p21.3	0	0	 			P22105	367	25				TENX_HUMAN Tenascin-X OS=Homo sapiens GN=TNXB PE=1 SV=3 CONCAT=22	Homo sapiens
Q15833	C	canonical	  1.000	  1.000	37	  6.586	13	19	19p13.2	7702005	7712759	+			Q15833	368	14				STXB2_HUMAN Syntaxin-binding protein 2 OS=Homo sapiens GN=STXBP2 PE=1 SV=2 CONCAT=8	Homo sapiens
P11940	C	canonical	  1.000	  1.000	3	  0.534	3	8	8q22.3	101715144	101734940	-			P11940	369	21				PABP1_HUMAN Polyadenylate-binding protein 1 OS=Homo sapiens GN=PABPC1 PE=1 SV=2 CONCAT=1	Homo sapiens
O43451	C	canonical	  1.000	  1.000	584	 40.841	64	7	7q34	141695638	141806547	+			O43451	370	11				MGA_HUMAN Maltase-glucoamylase, intestinal OS=Homo sapiens GN=MGAM PE=1 SV=5 CONCAT=5	Homo sapiens
Q5R3I4	C	canonical	  1.000	  1.000	3	  0.678	2	22	22q13.31	46663861	46689905	+			Q5R3I4	371	6				TTC38_HUMAN Tetratricopeptide repeat protein 38 OS=Homo sapiens GN=TTC38 PE=1 SV=1 CONCAT=3	Homo sapiens
Q06033	C	canonical	  1.000	  1.000	8	  1.237	6	3	3p21.1	52828814	52843025	+			Q06033	372	6				ITIH3_HUMAN Inter-alpha-trypsin inhibitor heavy chain H3 OS=Homo sapiens GN=ITIH3 PE=1 SV=2 CONCAT=20	Homo sapiens
P00749	C	canonical	  1.000	  1.000	353	 86.402	26	10	10q22.2	75670915	75677255	+			P00749	373	6				UROK_HUMAN Urokinase-type plasminogen activator OS=Homo sapiens GN=PLAU PE=1 SV=2 CONCAT=17	Homo sapiens
Q96CG8	C	canonical	  0.996	  1.000	2	  0.979	2	8	8q22.3	104383743	104395225	+			Q96CG8	374	11				CTHR1_HUMAN Collagen triple helix repeat-containing protein 1 OS=Homo sapiens GN=CTHRC1 PE=1 SV=1 CONCAT=7	Homo sapiens
P50395	C	canonical	  1.000	  1.000	203	 44.166	29	10	10p15.1	5807917	5855374	-			P50395	375	14				GDIB_HUMAN Rab GDP dissociation inhibitor beta OS=Homo sapiens GN=GDI2 PE=1 SV=2 CONCAT=1	Homo sapiens
