NX_A0A075B6H9-1	ENSP00000374817
NX_P61960-2	ENSP00000368970
NX_P61962-1	ENSP00000402312
NX_P61962-1	ENSP00000483236
NX_P61962-2	ENSP00000403920
NX_P61964-1	ENSP00000351446
NX_P61966-1	ENSP00000336666
NX_P61966-1	ENSP00000410780
NX_P61968-1	ENSP00000359573
NX_P61968-1	ENSP00000359575
NX_P61970-1	ENSP00000219169
NX_P61970-1	ENSP00000457022
NX_P61970-1	ENSP00000457989
NX_P61978-1	ENSP00000317788
NX_P61978-1	ENSP00000353552
NX_P61978-2	ENSP00000365439
NX_P61978-2	ENSP00000365458
NX_P61981-1	ENSP00000306330
NX_P62068-1	ENSP00000407818
NX_P62068-2	ENSP00000426970
NX_P62068-3	ENSP00000422018
NX_P62068-3	ENSP00000423244
NX_P62070-1	ENSP00000256196
NX_P62070-2	ENSP00000256196
NX_P62070-2	ENSP00000403282
NX_P62070-2	ENSP00000431954
NX_P62070-2	ENSP00000433230
NX_P62070-2	ENSP00000434104
NX_P62070-2	ENSP00000437083
NX_P62070-2	ENSP00000437547
NX_P62070-3	ENSP00000433230
NX_P62070-3	ENSP00000437547
NX_P62072-1	ENSP00000257245
NX_P62072-1	ENSP00000433627
NX_P62072-1	ENSP00000435678
NX_P62079-1	ENSP00000307701
NX_P62081-1	ENSP00000339095
NX_P62081-1	ENSP00000385018
NX_P62081-1	ENSP00000385286
NX_P62136-1	ENSP00000365936
NX_P62136-2	ENSP00000326031
NX_P62136-3	ENSP00000350974
NX_P62140-1	ENSP00000296122
NX_P62140-1	ENSP00000351298
NX_P62140-1	ENSP00000378769
NX_P62158-1	ENSP00000272298
NX_P62158-1	ENSP00000291295
NX_P62158-1	ENSP00000349467
NX_P62158-1	ENSP00000472141
NX_P62166-1	ENSP00000361475
NX_P62166-2	ENSP00000486695
NX_P62191-1	ENSP00000261303
NX_P62191-2	ENSP00000261303
NX_P62191-2	ENSP00000445147
NX_P62195-1	ENSP00000310572
NX_P62195-2	ENSP00000310572
NX_P62195-2	ENSP00000364970
NX_P62195-2	ENSP00000462495
NX_P62195-2	ENSP00000463938
NX_P62241-1	ENSP00000379888
NX_P62244-1	ENSP00000318646
NX_P62244-1	ENSP00000457000
NX_P62244-1	ENSP00000458115
NX_P62244-1	ENSP00000458528
NX_P62249-1	ENSP00000251453
NX_P62253-1	ENSP00000380178
NX_P62256-1	ENSP00000347836
NX_P62256-2	ENSP00000419097
NX_P62258-1	ENSP00000264335
NX_P62258-2	ENSP00000264335
NX_P62258-2	ENSP00000461762
NX_P62263-1	ENSP00000311028
NX_P62263-1	ENSP00000385425
NX_P62263-1	ENSP00000385958
NX_P62263-1	ENSP00000428509
NX_P62266-1	ENSP00000296674
NX_P62269-1	ENSP00000393241
NX_P62273-1	ENSP00000245458
NX_P62273-1	ENSP00000479892
NX_P62273-2	ENSP00000379339
NX_P62277-1	ENSP00000435777
NX_P62280-1	ENSP00000270625
NX_P62304-1	ENSP00000400591
NX_P62306-1	ENSP00000266735
NX_P62308-1	ENSP00000272348
NX_P62310-1	ENSP00000302160
NX_P62312-1	ENSP00000296581
NX_P62312-1	ENSP00000420929
NX_P62312-1	ENSP00000422392
NX_P62312-1	ENSP00000427036
NX_P62314-1	ENSP00000300413
NX_P62316-1	ENSP00000342374
NX_P62316-1	ENSP00000465216
NX_P62316-2	ENSP00000342374
NX_P62316-2	ENSP00000375798
NX_P62316-2	ENSP00000465216
NX_P62316-2	ENSP00000465952
NX_P62316-2	ENSP00000466152
NX_P62318-1	ENSP00000215829
NX_P62318-1	ENSP00000456090
NX_P62318-2	ENSP00000385266
NX_P62324-1	ENSP00000256015
NX_P62328-1	ENSP00000370007
NX_P62328-1	ENSP00000370009
NX_P62328-1	ENSP00000370010
NX_P62328-1	ENSP00000414376
NX_P62330-1	ENSP00000298316
NX_P62333-1	ENSP00000401802
NX_P62333-1	ENSP00000475721
NX_P62333-1	ENSP00000484998
NX_P62341-1	ENSP00000418910
NX_P62380-1	ENSP00000237264
NX_P62380-1	ENSP00000478795
NX_P62424-1	ENSP00000361076
NX_P62487-1	ENSP00000301788
NX_P62491-1	ENSP00000261890
NX_P62491-2	ENSP00000456420
NX_P62495-1	ENSP00000353741
NX_P62495-2	ENSP00000353741
NX_P62495-2	ENSP00000421288
NX_P62495-2	ENSP00000422203
NX_P62502-1	ENSP00000339621
NX_P62508-1	ENSP00000386171
NX_P62508-2	ENSP00000352077
NX_P62508-2	ENSP00000353108
NX_P62508-2	ENSP00000354584
NX_P62508-2	ENSP00000355225
NX_P62508-2	ENSP00000355905
NX_P62508-2	ENSP00000355907
NX_P62508-2	ENSP00000375761
NX_P62508-2	ENSP00000386171
NX_P62508-2	ENSP00000417374
NX_P62508-2	ENSP00000419155
NX_P62508-2	ENSP00000419594
NX_P62508-2	ENSP00000481528
NX_P62508-3	ENSP00000355904
NX_P62508-4	ENSP00000418629
NX_P62508-5	ENSP00000355904
NX_P62633-1	ENSP00000410619
NX_P62633-2	ENSP00000421323
NX_P62633-3	ENSP00000422110
NX_P62633-4	ENSP00000399488
NX_P62633-5	ENSP00000400444
NX_P62633-6	ENSP00000410769
NX_P62633-7	ENSP00000426223
NX_P62699-1	ENSP00000261353
NX_P62699-1	ENSP00000368834
NX_P62699-1	ENSP00000368835
NX_P62699-1	ENSP00000383974
NX_P62699-1	ENSP00000385278
NX_P62701-1	ENSP00000362744
NX_P62714-1	ENSP00000221138
NX_P62736-1	ENSP00000224784
NX_P62745-1	ENSP00000272233
NX_P62750-1	ENSP00000389103
NX_P62753-1	ENSP00000369757
NX_P62760-1	ENSP00000295156
NX_P62760-1	ENSP00000384014
NX_P62760-1	ENSP00000384719
NX_P62805-1	ENSP00000244537
NX_P62805-1	ENSP00000347168
NX_P62805-1	ENSP00000350767
NX_P62805-1	ENSP00000366956
NX_P62805-1	ENSP00000366974
NX_P62805-1	ENSP00000367034
NX_P62805-1	ENSP00000443017
NX_P62805-1	ENSP00000462355
NX_P62805-1	ENSP00000462667
NX_P62805-1	ENSP00000478519
NX_P62805-1	ENSP00000478786
NX_P62805-1	ENSP00000479106
NX_P62805-1	ENSP00000479461
NX_P62805-1	ENSP00000479794
NX_P62805-1	ENSP00000480960
NX_P62805-1	ENSP00000481343
NX_P62805-1	ENSP00000481486
NX_P62805-1	ENSP00000481507
NX_P62805-1	ENSP00000482412
NX_P62805-1	ENSP00000484789
NX_P62805-1	ENSP00000489236
NX_P62805-1	ENSP00000489319
NX_P62805-1	ENSP00000489567
NX_P62807-1	ENSP00000321744
NX_P62807-1	ENSP00000348924
NX_P62807-1	ENSP00000366962
NX_P62807-1	ENSP00000380180
NX_P62807-1	ENSP00000445633
NX_P62807-1	ENSP00000483237
NX_P62807-1	ENSP00000489317
NX_P62820-1	ENSP00000387286
NX_P62820-2	ENSP00000386451
NX_P62820-3	ENSP00000381540
NX_P62826-1	ENSP00000376176
NX_P62826-1	ENSP00000446215
NX_P62829-1	ENSP00000377865
NX_P62829-1	ENSP00000420311
NX_P62834-1	ENSP00000348786
NX_P62834-1	ENSP00000358723
NX_P62837-1	ENSP00000381717
NX_P62837-1	ENSP00000381718
NX_P62837-2	ENSP00000253815
NX_P62837-2	ENSP00000381717
NX_P62837-2	ENSP00000381718
NX_P62837-2	ENSP00000424941
NX_P62837-2	ENSP00000429613
NX_P62841-1	ENSP00000467466
NX_P62847-1	ENSP00000361435
NX_P62847-2	ENSP00000354074
NX_P62847-4	ENSP00000414321
NX_P62851-1	ENSP00000435096
NX_P62854-1	ENSP00000348849
NX_P62854-1	ENSP00000450339
NX_P62857-1	ENSP00000472469
NX_P62861-1	ENSP00000431822
NX_P62861-1	ENSP00000434440
NX_P62861-1	ENSP00000435370
NX_P62861-1	ENSP00000436110
NX_P62873-1	ENSP00000367872
NX_P62873-1	ENSP00000481878
NX_P62875-1	ENSP00000324124
NX_P62875-1	ENSP00000432807
NX_P62877-1	ENSP00000216225
NX_P62879-1	ENSP00000305260
NX_P62879-1	ENSP00000377501
NX_P62879-1	ENSP00000377503
NX_P62879-2	ENSP00000305260
NX_P62879-2	ENSP00000377501
NX_P62879-2	ENSP00000377503
NX_P62879-2	ENSP00000389391
NX_P62879-2	ENSP00000390543
NX_P62879-2	ENSP00000400286
NX_P62879-2	ENSP00000401873
NX_P62888-1	ENSP00000287038
NX_P62888-1	ENSP00000428085
NX_P62891-1	ENSP00000355315
NX_P62899-1	ENSP00000264258
NX_P62899-1	ENSP00000386681
NX_P62899-2	ENSP00000386717
NX_P62899-3	ENSP00000387163
NX_P62906-1	ENSP00000363018
NX_P62910-1	ENSP00000380156
NX_P62910-1	ENSP00000380158
NX_P62910-1	ENSP00000388674
NX_P62910-1	ENSP00000416429
NX_P62913-1	ENSP00000363676
NX_P62917-1	ENSP00000262584
NX_P62917-1	ENSP00000378378
NX_P62917-1	ENSP00000433464
NX_P62937-1	ENSP00000419425
NX_P62937-2	ENSP00000419425
NX_P62937-2	ENSP00000427976
NX_P62937-2	ENSP00000430817
NX_P62937-2	ENSP00000479961
NX_P62942-1	ENSP00000371138
NX_P62942-1	ENSP00000383003
NX_P62945-1	ENSP00000420821
NX_P62945-1	ENSP00000449026
NX_P62952-1	ENSP00000362637
NX_P62952-1	ENSP00000380320
NX_P62952-1	ENSP00000380323
NX_P62952-1	ENSP00000380324
NX_P62952-1	ENSP00000380326
NX_P62952-1	ENSP00000397172
NX_P62952-1	ENSP00000414973
NX_P62955-1	ENSP00000222212
NX_P62955-1	ENSP00000375647
NX_P62979-1	ENSP00000272317
NX_P62979-1	ENSP00000383981
NX_P62979-1	ENSP00000385659
NX_P62987-1	ENSP00000388107
NX_P62987-1	ENSP00000396910
NX_P62987-1	ENSP00000470419
NX_P62987-1	ENSP00000470507
NX_P62987-1	ENSP00000471062
NX_P62987-1	ENSP00000471464
NX_P62987-1	ENSP00000471622
NX_P62987-1	ENSP00000472264
NX_P62987-1	ENSP00000472545
NX_P62987-1	ENSP00000473048
NX_P62993-1	ENSP00000339007
NX_P62993-1	ENSP00000376345
NX_P62993-1	ENSP00000376347
NX_P62993-2	ENSP00000317360
NX_P62993-2	ENSP00000376346
NX_P62995-1	ENSP00000416959
NX_P62995-2	ENSP00000343857
NX_P62995-2	ENSP00000416887
NX_P62995-3	ENSP00000371626
NX_P62995-3	ENSP00000416887
NX_P62995-3	ENSP00000416959
NX_P63000-1	ENSP00000258737
NX_P63000-2	ENSP00000348461
NX_P63010-1	ENSP00000482315
NX_P63010-2	ENSP00000482835
NX_P63010-2	ENSP00000483185
NX_P63010-3	ENSP00000481246
NX_P63010-3	ENSP00000482315
NX_P63027-1	ENSP00000314214
NX_P63092-1	ENSP00000360126
NX_P63092-2	ENSP00000360136
NX_P63092-3	ENSP00000265620
NX_P63092-4	ENSP00000346328
NX_P63096-1	ENSP00000343027
NX_P63096-2	ENSP00000343027
NX_P63096-2	ENSP00000410572
NX_P63098-1	ENSP00000234310
NX_P63104-1	ENSP00000309503
NX_P63104-1	ENSP00000379281
NX_P63104-1	ENSP00000379283
NX_P63104-1	ENSP00000379286
NX_P63104-1	ENSP00000379287
NX_P63104-1	ENSP00000379288
NX_P63104-1	ENSP00000395114
NX_P63104-1	ENSP00000398599
NX_P63104-2	ENSP00000430072
NX_P63146-1	ENSP00000265339
NX_P63151-1	ENSP00000370113
NX_P63151-2	ENSP00000325074
NX_P63162-1	ENSP00000306223
NX_P63162-1	ENSP00000375105
NX_P63162-1	ENSP00000382969
NX_P63162-1	ENSP00000382972
NX_P63162-1	ENSP00000463458
NX_P63162-2	ENSP00000452342
NX_P63165-1	ENSP00000376076
NX_P63165-1	ENSP00000376077
NX_P63165-2	ENSP00000376075
NX_P63167-1	ENSP00000242577
NX_P63167-1	ENSP00000376296
NX_P63167-1	ENSP00000376297
NX_P63167-1	ENSP00000446614
NX_P63167-1	ENSP00000447907
NX_P63172-1	ENSP00000356056
NX_P63173-1	ENSP00000309830
NX_P63173-1	ENSP00000390279
NX_P63173-1	ENSP00000434243
NX_P63208-1	ENSP00000231487
NX_P63208-1	ENSP00000429686
NX_P63208-1	ENSP00000429961
NX_P63208-2	ENSP00000429472
NX_P63211-1	ENSP00000248572
NX_P63211-1	ENSP00000388777
NX_P63215-1	ENSP00000294117
NX_P63218-1	ENSP00000359675
NX_P63218-1	ENSP00000359679
NX_P63220-1	ENSP00000345957
NX_P63241-1	ENSP00000336702
NX_P63241-1	ENSP00000336776
NX_P63241-1	ENSP00000390677
NX_P63241-1	ENSP00000396073
NX_P63241-1	ENSP00000458269
NX_P63241-1	ENSP00000459196
NX_P63241-1	ENSP00000459611
NX_P63241-2	ENSP00000336702
NX_P63244-1	ENSP00000426909
NX_P63252-1	ENSP00000243457
NX_P63252-1	ENSP00000441848
NX_P63261-1	ENSP00000331514
NX_P63261-1	ENSP00000458162
NX_P63261-1	ENSP00000458435
NX_P63261-1	ENSP00000459124
NX_P63261-1	ENSP00000461672
NX_P63261-1	ENSP00000477968
NX_P63267-1	ENSP00000295137
NX_P63267-1	ENSP00000386857
NX_P63267-2	ENSP00000386929
NX_P63272-1	ENSP00000225504
NX_P63272-1	ENSP00000462670
NX_P63279-1	ENSP00000324897
NX_P63279-1	ENSP00000348056
NX_P63279-1	ENSP00000380649
NX_P63279-1	ENSP00000380650
NX_P63279-1	ENSP00000384568
NX_P63279-1	ENSP00000385009
NX_P63279-1	ENSP00000457064
NX_P63302-1	ENSP00000470941
NX_P63302-1	ENSP00000471149
NX_P63302-1	ENSP00000473185
NX_P63313-1	ENSP00000233143
NX_P63316-1	ENSP00000232975
NX_P67775-1	ENSP00000418447
NX_P67809-1	ENSP00000361626
NX_P67812-1	ENSP00000268220
NX_P67812-2	ENSP00000268220
NX_P67812-2	ENSP00000413121
NX_P67812-3	ENSP00000452697
NX_P67812-4	ENSP00000452684
NX_P67870-1	ENSP00000365025
NX_P67870-1	ENSP00000365026
NX_P67870-1	ENSP00000365042
NX_P67870-1	ENSP00000365046
NX_P67936-1	ENSP00000300933
NX_P67936-2	ENSP00000345230
NX_P68032-1	ENSP00000290378
NX_P68036-1	ENSP00000344259
NX_P68036-2	ENSP00000445931
NX_P68036-3	ENSP00000400906
NX_P68104-1	ENSP00000330054
NX_P68104-1	ENSP00000339053
NX_P68104-1	ENSP00000339063
NX_P68106-1	ENSP00000370373
NX_P68106-2	ENSP00000370379
NX_P68133-1	ENSP00000355645
NX_P68363-1	ENSP00000336799
NX_P68366-1	ENSP00000248437
NX_P68366-2	ENSP00000248437
NX_P68366-2	ENSP00000375938
NX_P68371-1	ENSP00000341289
NX_P68400-1	ENSP00000217244
NX_P68400-1	ENSP00000339247
NX_P68400-2	ENSP00000217244
NX_P68400-2	ENSP00000339247
NX_P68400-2	ENSP00000383076
NX_P68402-1	ENSP00000435289
NX_P68402-2	ENSP00000434951
NX_P68402-3	ENSP00000388742
NX_P68402-4	ENSP00000431365
NX_P68431-1	ENSP00000352252
NX_P68431-1	ENSP00000358160
NX_P68431-1	ENSP00000366999
NX_P68431-1	ENSP00000480826
NX_P68431-1	ENSP00000482271
NX_P68431-1	ENSP00000483283
NX_P68431-1	ENSP00000484095
NX_P68431-1	ENSP00000484638
NX_P68431-1	ENSP00000484658
NX_P68431-1	ENSP00000484841
NX_P68431-1	ENSP00000489282
NX_P68543-1	ENSP00000312107
NX_P68543-1	ENSP00000385525
NX_P68543-2	ENSP00000440533
NX_P68871-1	ENSP00000333994
NX_P69849-1	ENSP00000382274
NX_P69891-1	ENSP00000327431
NX_P69892-1	ENSP00000338082
NX_P69892-1	ENSP00000369609
NX_P69905-1	ENSP00000251595
NX_P69905-1	ENSP00000322421
NX_P78310-1	ENSP00000284878
NX_P78310-3	ENSP00000348620
NX_P78310-4	ENSP00000383029
NX_P78310-5	ENSP00000383030
NX_P78310-6	ENSP00000383033
NX_P78312-1	ENSP00000324587
NX_P78312-2	ENSP00000372290
NX_P78312-2	ENSP00000490564
NX_P78312-3	ENSP00000423852
NX_P78312-4	ENSP00000324587
NX_P78312-5	ENSP00000427505
NX_P78312-6	ENSP00000421200
NX_P78312-6	ENSP00000443617
NX_P78314-1	ENSP00000348685
NX_P78314-1	ENSP00000388152
NX_P78314-1	ENSP00000403231
NX_P78314-1	ENSP00000409746
NX_P78314-1	ENSP00000422168
NX_P78314-1	ENSP00000424846
NX_P78314-2	ENSP00000422605
NX_P78314-2	ENSP00000424072
NX_P78314-3	ENSP00000388152
NX_P78314-3	ENSP00000403231
NX_P78314-4	ENSP00000422168
NX_P78314-4	ENSP00000424846
NX_P78316-1	ENSP00000315674
NX_P78316-1	ENSP00000405068
NX_P78316-2	ENSP00000381146
NX_P78317-1	ENSP00000315212
NX_P78317-1	ENSP00000424076
NX_P78317-1	ENSP00000426503
NX_P78317-2	ENSP00000426615
NX_P78317-2	ENSP00000446369
NX_P78318-1	ENSP00000348784
NX_P78318-1	ENSP00000363661
NX_P78324-1	ENSP00000348307
NX_P78324-1	ENSP00000351621
NX_P78324-1	ENSP00000382941
NX_P78324-2	ENSP00000478763
NX_P78324-4	ENSP00000348307
NX_P78324-4	ENSP00000351621
NX_P78324-4	ENSP00000382941
NX_P78325-1	ENSP00000453302
NX_P78325-2	ENSP00000453043
NX_P78325-3	ENSP00000453855
NX_P78329-1	ENSP00000221700
NX_P78329-2	ENSP00000467443
NX_P78330-1	ENSP00000275605
NX_P78330-1	ENSP00000378854
NX_P78330-1	ENSP00000401639
NX_P78332-1	ENSP00000266022
NX_P78332-2	ENSP00000266022
NX_P78332-2	ENSP00000392939
NX_P78332-2	ENSP00000393530
NX_P78332-2	ENSP00000396466
NX_P78332-3	ENSP00000408665
NX_P78333-1	ENSP00000366267
NX_P78334-1	ENSP00000359353
NX_P78337-1	ENSP00000265340
NX_P78337-1	ENSP00000427542
NX_P78345-1	ENSP00000367439
NX_P78345-1	ENSP00000367444
NX_P78345-1	ENSP00000367445
NX_P78345-1	ENSP00000478982
NX_P78346-1	ENSP00000360768
NX_P78346-2	ENSP00000389182
NX_P78347-1	ENSP00000460070
NX_P78347-2	ENSP00000477837
NX_P78347-3	ENSP00000484526
NX_P78347-4	ENSP00000482476
NX_P78347-5	ENSP00000404240
NX_P78348-1	ENSP00000228468
NX_P78348-2	ENSP00000400228
NX_P78348-3	ENSP00000450247
NX_P78352-1	ENSP00000382425
NX_P78352-2	ENSP00000382428
NX_P78352-3	ENSP00000307471
NX_P78356-1	ENSP00000482548
NX_P78357-1	ENSP00000264638
NX_P78358-1	ENSP00000332602
NX_P78358-1	ENSP00000469441
NX_P78358-2	ENSP00000352953
NX_P78362-1	ENSP00000349863
NX_P78362-1	ENSP00000419791
NX_P78362-2	ENSP00000377262
NX_P78363-1	ENSP00000359245
NX_P78364-1	ENSP00000437659
NX_P78364-1	ENSP00000440674
NX_P78367-1	ENSP00000371875
NX_P78368-1	ENSP00000255641
NX_P78369-1	ENSP00000299339
NX_P78369-2	ENSP00000366069
NX_P78371-1	ENSP00000299300
NX_P78371-2	ENSP00000299300
NX_P78371-2	ENSP00000445471
NX_P78380-1	ENSP00000309124
NX_P78380-2	ENSP00000405116
NX_P78380-3	ENSP00000439251
NX_P78381-1	ENSP00000247138
NX_P78381-2	ENSP00000365704
NX_P78381-2	ENSP00000489484
NX_P78381-3	ENSP00000402726
NX_P78381-4	ENSP00000416002
NX_P78381-5	ENSP00000489197
NX_P78382-1	ENSP00000358565
NX_P78382-2	ENSP00000358569
NX_P78383-1	ENSP00000240333
NX_P78383-2	ENSP00000240333
NX_P78385-1	ENSP00000293670
NX_P78386-1	ENSP00000257901
NX_P78395-1	ENSP00000381726
NX_P78395-1	ENSP00000381728
NX_P78395-1	ENSP00000384343
NX_P78395-1	ENSP00000385198
NX_P78395-1	ENSP00000445675
NX_P78396-1	ENSP00000255465
NX_P78396-2	ENSP00000486017
NX_P78396-3	ENSP00000255465
NX_P78396-3	ENSP00000400666
NX_P78396-3	ENSP00000486017
NX_P78396-3	ENSP00000486482
NX_P78406-1	ENSP00000360286
NX_P78406-1	ENSP00000379181
NX_P78406-1	ENSP00000379182
NX_P78410-1	ENSP00000348751
NX_P78410-1	ENSP00000366937
NX_P78410-1	ENSP00000380152
NX_P78410-1	ENSP00000432138
NX_P78410-2	ENSP00000380140
NX_P78410-3	ENSP00000348751
NX_P78410-3	ENSP00000366937
NX_P78410-3	ENSP00000380140
NX_P78410-3	ENSP00000380152
NX_P78410-3	ENSP00000432138
NX_P78410-3	ENSP00000442687
NX_P78411-1	ENSP00000378132
NX_P78411-2	ENSP00000316250
NX_P78412-1	ENSP00000290552
NX_P78413-1	ENSP00000231357
NX_P78413-1	ENSP00000423161
NX_P78413-1	ENSP00000424235
NX_P78413-2	ENSP00000481396
NX_P78413-2	ENSP00000482393
NX_P78414-1	ENSP00000305244
NX_P78415-1	ENSP00000331608
NX_P78417-1	ENSP00000358727
NX_P78417-2	ENSP00000358724
NX_P78417-3	ENSP00000358727
NX_P78417-3	ENSP00000441488
NX_P78423-1	ENSP00000006053
NX_P78424-1	ENSP00000384004
NX_P78424-2	ENSP00000430514
NX_P78426-1	ENSP00000295886
NX_P78504-1	ENSP00000254958
NX_P78504-2	ENSP00000254958
NX_P78508-1	ENSP00000357068
NX_P78509-1	ENSP00000392423
NX_P78509-2	ENSP00000345694
NX_P78524-1	ENSP00000319678
NX_P78524-1	ENSP00000433528
NX_P78524-2	ENSP00000435097
NX_P78524-2	ENSP00000436802
NX_P78524-3	ENSP00000319678
NX_P78524-3	ENSP00000432887
NX_P78524-3	ENSP00000433528
NX_P78524-3	ENSP00000435097
NX_P78524-3	ENSP00000436802
NX_P78524-3	ENSP00000436808
NX_P78527-1	ENSP00000313420
NX_P78527-2	ENSP00000345182
NX_P78536-1	ENSP00000309968
NX_P78537-1	ENSP00000447537
NX_P78537-2	ENSP00000447537
NX_P78539-1	ENSP00000367794
NX_P78539-3	ENSP00000411165
NX_P78539-4	ENSP00000445034
NX_P78539-5	ENSP00000440758
NX_P78540-1	ENSP00000261783
NX_P78543-1	ENSP00000290551
NX_P78543-1	ENSP00000433553
NX_P78545-1	ENSP00000352673
NX_P78545-1	ENSP00000356252
NX_P78545-1	ENSP00000356253
NX_P78549-1	ENSP00000219066
NX_P78549-2	ENSP00000219066
NX_P78549-3	ENSP00000219066
NX_P78552-1	ENSP00000360730
NX_P78552-2	ENSP00000360705
NX_P78556-1	ENSP00000351671
NX_P78556-2	ENSP00000386273
NX_P78559-1	ENSP00000300231
NX_P78559-1	ENSP00000371462
NX_P78560-1	ENSP00000327647
NX_P78560-1	ENSP00000439068
NX_P78560-2	ENSP00000448425
NX_P78562-1	ENSP00000368682
NX_P78563-1	ENSP00000353920
NX_P78563-1	ENSP00000414600
NX_P78563-1	ENSP00000435381
NX_P78563-2	ENSP00000015877
NX_P78563-2	ENSP00000436367
NX_P78563-2	ENSP00000486475
NX_P78563-3	ENSP00000374513
NX_P78563-4	ENSP00000486475
NX_P79483-1	ENSP00000372607
NX_P79522-1	ENSP00000365744
NX_P79522-2	ENSP00000365740
NX_P80075-1	ENSP00000378118
NX_P80098-1	ENSP00000367832
NX_P80108-1	ENSP00000230036
NX_P80162-1	ENSP00000226317
NX_P80188-1	ENSP00000277480
NX_P80188-1	ENSP00000362108
NX_P80192-1	ENSP00000451612
NX_P80192-4	ENSP00000451263
NX_P80217-1	ENSP00000394579
NX_P80217-2	ENSP00000395590
NX_P80294-1	ENSP00000330587
NX_P80297-1	ENSP00000377995
NX_P80303-1	ENSP00000436455
NX_P80303-1	ENSP00000481959
NX_P80303-2	ENSP00000320168
NX_P80365-1	ENSP00000316786
NX_P80370-1	ENSP00000340292
NX_P80370-2	ENSP00000331081
NX_P80404-1	ENSP00000268251
NX_P80404-1	ENSP00000379845
NX_P80404-1	ENSP00000411916
NX_P80404-1	ENSP00000456330
NX_P80511-1	ENSP00000357726
NX_P80723-1	ENSP00000319281
NX_P80723-1	ENSP00000482066
NX_P80748-1	ENSP00000374843
NX_P81133-1	ENSP00000262901
NX_P81133-1	ENSP00000358210
NX_P81172-1	ENSP00000222304
NX_P81172-1	ENSP00000471894
NX_P81274-1	ENSP00000264126
NX_P81274-1	ENSP00000385510
NX_P81277-1	ENSP00000165524
NX_P81408-1	ENSP00000354958
NX_P81408-2	ENSP00000307128
NX_P81408-3	ENSP00000357352
NX_P81534-1	ENSP00000320951
NX_P81534-1	ENSP00000324633
NX_P81605-1	ENSP00000293371
NX_P81605-2	ENSP00000406773
NX_P81605-3	ENSP00000450415
NX_P81877-1	ENSP00000322977
NX_P81877-2	ENSP00000422961
NX_P81877-3	ENSP00000423969
NX_P81877-4	ENSP00000426183
NX_P81877-5	ENSP00000424657
NX_P82094-1	ENSP00000381567
NX_P82251-1	ENSP00000023064
NX_P82251-1	ENSP00000464822
NX_P82251-1	ENSP00000468439
NX_P82279-1	ENSP00000356370
NX_P82279-2	ENSP00000433932
NX_P82279-3	ENSP00000356369
NX_P82279-5	ENSP00000438091
NX_P82650-1	ENSP00000310785
NX_P82650-1	ENSP00000418008
NX_P82650-2	ENSP00000420482
NX_P82663-1	ENSP00000253686
NX_P82663-2	ENSP00000390882
NX_P82663-3	ENSP00000407733
NX_P82664-1	ENSP00000053468
NX_P82673-1	ENSP00000081029
NX_P82673-2	ENSP00000445390
NX_P82675-1	ENSP00000272418
NX_P82675-2	ENSP00000341660
NX_P82909-1	ENSP00000256441
NX_P82912-1	ENSP00000317376
NX_P82912-3	ENSP00000318054
NX_P82914-1	ENSP00000362208
NX_P82921-1	ENSP00000461930
NX_P82921-1	ENSP00000480129
NX_P82930-1	ENSP00000380531
NX_P82932-1	ENSP00000382250
NX_P82933-1	ENSP00000258455
NX_P82970-1	ENSP00000350848
NX_P82979-1	ENSP00000337632
NX_P82979-1	ENSP00000449409
NX_P82980-1	ENSP00000266560
NX_P82987-1	ENSP00000286744
NX_P82987-2	ENSP00000456313
NX_P83105-1	ENSP00000305919
NX_P83110-1	ENSP00000303766
NX_P83110-2	ENSP00000371952
NX_P83111-1	ENSP00000261893
NX_P83111-2	ENSP00000392956
NX_P83369-1	ENSP00000286307
NX_P83436-1	ENSP00000305442
NX_P83731-1	ENSP00000377640
NX_P83859-1	ENSP00000345487
NX_P83859-1	ENSP00000485512
NX_P83876-1	ENSP00000269601
NX_P83881-1	ENSP00000404375
NX_P83881-1	ENSP00000446503
NX_P83881-1	ENSP00000483017
NX_P83916-1	ENSP00000225603
NX_P83916-1	ENSP00000377060
NX_P84022-1	ENSP00000332973
NX_P84022-2	ENSP00000401133
NX_P84022-3	ENSP00000332973
NX_P84022-3	ENSP00000401133
NX_P84022-3	ENSP00000437757
NX_P84022-4	ENSP00000332973
NX_P84022-4	ENSP00000401133
NX_P84022-4	ENSP00000437757
NX_P84022-4	ENSP00000445348
NX_P84074-1	ENSP00000362566
NX_P84077-1	ENSP00000272102
NX_P84077-1	ENSP00000440005
NX_P84077-1	ENSP00000442980
NX_P84085-1	ENSP00000000233
NX_P84090-1	ENSP00000451080
NX_P84095-1	ENSP00000339467
NX_P84095-1	ENSP00000380175
NX_P84095-1	ENSP00000380176
NX_P84095-1	ENSP00000436932
NX_P84098-1	ENSP00000225430
NX_P84101-1	ENSP00000249786
NX_P84101-1	ENSP00000370764
NX_P84101-1	ENSP00000400178
NX_P84101-2	ENSP00000387187
NX_P84101-3	ENSP00000339647
NX_P84101-4	ENSP00000249786
NX_P84101-4	ENSP00000370764
NX_P84101-4	ENSP00000384300
NX_P84101-4	ENSP00000386044
NX_P84101-4	ENSP00000386783
NX_P84101-4	ENSP00000400178
NX_P84103-1	ENSP00000362820
NX_P84103-1	ENSP00000482833
NX_P84103-2	ENSP00000436036
NX_P84157-1	ENSP00000348050
NX_P84157-2	ENSP00000391466
