NX_A0A075B6J9	ENST00000390310
NX_O75437	ENST00000595187
NX_O75437	ENST00000611359
NX_O75437	ENST00000613065
NX_O75437	ENST00000616028
NX_O75439	ENST00000428154
NX_O75439	ENST00000443722
NX_O75439	ENST00000444457
NX_O75439	ENST00000453466
NX_O75439	ENST00000456433
NX_O75444	ENST00000569649
NX_O75448	ENST00000422942
NX_O75448	ENST00000428757
NX_O75448	ENST00000491466
NX_O75448	ENST00000501516
NX_O75448	ENST00000535071
NX_O75448	ENST00000535508
NX_O75448	ENST00000537674
NX_O75448	ENST00000543759
NX_O75448	ENST00000578161
NX_O75448	ENST00000578901
NX_O75448	ENST00000580008
NX_O75448	ENST00000580302
NX_O75448	ENST00000580517
NX_O75448	ENST00000580885
NX_O75448	ENST00000581058
NX_O75448	ENST00000582023
NX_O75448	ENST00000585306
NX_O75448	ENST00000614384
NX_O75449	ENST00000420200
NX_O75449	ENST00000444282
NX_O75461	ENST00000421117
NX_O75461	ENST00000428221
NX_O75462	ENST00000597131
NX_O75467	ENST00000535298
NX_O75467	ENST00000593925
NX_O75475	ENST00000481862
NX_O75477	ENST00000370408
NX_O75478	ENST00000612272
NX_O75478	ENST00000614112
NX_O75478	ENST00000614122
NX_O75478	ENST00000615182
NX_O75478	ENST00000615328
NX_O75478	ENST00000617828
NX_O75478	ENST00000619777
NX_O75478	ENST00000620367
NX_O75478	ENST00000620628
NX_O75478	ENST00000621780
NX_O75478	ENST00000622522
NX_O75478	ENST00000631413
NX_O75478	ENST00000632146
NX_O75478	ENST00000632354
NX_O75478	ENST00000632358
NX_O75478	ENST00000632804
NX_O75478	ENST00000633468
NX_O75478	ENST00000633584
NX_O75486	ENST00000306867
NX_O75486	ENST00000371458
NX_O75486	ENST00000637480
NX_O75489	ENST00000528192
NX_O75489	ENST00000529276
NX_O75489	ENST00000530295
NX_O75489	ENST00000534208
NX_O75493	ENST00000596080
NX_O75494	ENST00000374453
NX_O75494	ENST00000473858
NX_O75494	ENST00000495785
NX_O75496	ENST00000378054
NX_O75496	ENST00000378059
NX_O75496	ENST00000476555
NX_O75503	ENST00000485938
NX_O75503	ENST00000616833
NX_O75503	ENST00000635915
NX_O75503	ENST00000636525
NX_O75503	ENST00000636681
NX_O75503	ENST00000636705
NX_O75503	ENST00000636767
NX_O75503	ENST00000636780
NX_O75503	ENST00000637397
NX_O75503	ENST00000637537
NX_O75506	ENST00000567382
NX_O75508	ENST00000486975
NX_O75521	ENST00000380120
NX_O75521	ENST00000478266
NX_O75521	ENST00000495548
NX_O75521	ENST00000496241
NX_O75525	ENST00000517394
NX_O75525	ENST00000517859
NX_O75525	ENST00000520981
NX_O75525	ENST00000521461
NX_O75525	ENST00000524199
NX_O75525	ENST00000524282
NX_O75528	ENST00000439043
NX_O75529	ENST00000366674
NX_O75530	ENST00000527888
NX_O75530	ENST00000528180
NX_O75530	ENST00000534595
NX_O75531	ENST00000530204
NX_O75533	ENST00000414174
NX_O75533	ENST00000424674
NX_O75533	ENST00000487698
NX_O75534	ENST00000525132
NX_O75534	ENST00000525878
NX_O75534	ENST00000525970
NX_O75534	ENST00000529046
NX_O75534	ENST00000530886
NX_O75534	ENST00000534389
NX_O75541	ENST00000313565
NX_O75541	ENST00000446827
NX_O75541	ENST00000562797
NX_O75541	ENST00000562808
NX_O75541	ENST00000562985
NX_O75541	ENST00000563827
NX_O75541	ENST00000563878
NX_O75541	ENST00000564134
NX_O75541	ENST00000565516
NX_O75541	ENST00000565843
NX_O75541	ENST00000566987
NX_O75541	ENST00000568322
NX_O75541	ENST00000568666
NX_O75541	ENST00000568961
NX_O75541	ENST00000611294
NX_O75553	ENST00000332102
NX_O75553	ENST00000371232
NX_O75563	ENST00000432747
NX_O75564	ENST00000503272
NX_O75564	ENST00000571961
NX_O75564	ENST00000615982
NX_O75569	ENST00000424699
NX_O75569	ENST00000448279
NX_O75569	ENST00000457633
NX_O75570	ENST00000239852
NX_O75570	ENST00000430347
NX_O75570	ENST00000452359
NX_O75570	ENST00000480434
NX_O75570	ENST00000497679
NX_O75575	ENST00000360415
NX_O75581	ENST00000535731
NX_O75581	ENST00000538239
NX_O75581	ENST00000540527
NX_O75581	ENST00000543091
NX_O75581	ENST00000625211
NX_O75581	ENST00000626182
NX_O75581	ENST00000626698
NX_O75581	ENST00000626957
NX_O75581	ENST00000628182
NX_O75582	ENST00000554206
NX_O75582	ENST00000556178
NX_O75582	ENST00000556594
NX_O75586	ENST00000554963
NX_O75586	ENST00000615788
NX_O75592	ENST00000429715
NX_O75592	ENST00000466564
NX_O75592	ENST00000612956
NX_O75596	ENST00000567430
NX_O75600	ENST00000426858
NX_O75600	ENST00000445195
NX_O75600	ENST00000451984
NX_O75602	ENST00000376603
NX_O75602	ENST00000435326
NX_O75602	ENST00000456231
NX_O75604	ENST00000527843
NX_O75604	ENST00000531070
NX_O75608	ENST00000518546
NX_O75608	ENST00000521352
NX_O75608	ENST00000521898
NX_O75608	ENST00000522007
NX_O75608	ENST00000618741
NX_O75608	ENST00000618914
NX_O75610	ENST00000492457
NX_O75616	ENST00000412138
NX_O75616	ENST00000461894
NX_O75616	ENST00000580917
NX_O75616	ENST00000583487
NX_O75618	ENST00000464113
NX_O75626	ENST00000424894
NX_O75626	ENST00000450060
NX_O75635	ENST00000425392
NX_O75635	ENST00000431370
NX_O75635	ENST00000447428
NX_O75638	ENST00000247306
NX_O75638	ENST00000369585
NX_O75643	ENST00000429650
NX_O75648	ENST00000381021
NX_O75648	ENST00000453630
NX_O75665	ENST00000380567
NX_O75665	ENST00000398395
NX_O75674	ENST00000445275
NX_O75674	ENST00000570499
NX_O75674	ENST00000570965
NX_O75674	ENST00000571319
NX_O75674	ENST00000572158
NX_O75674	ENST00000572298
NX_O75674	ENST00000572360
NX_O75674	ENST00000572405
NX_O75674	ENST00000572576
NX_O75674	ENST00000573607
NX_O75674	ENST00000574318
NX_O75674	ENST00000575909
NX_O75674	ENST00000576932
NX_O75676	ENST00000528057
NX_O75676	ENST00000528355
NX_O75676	ENST00000530504
NX_O75683	ENST00000629980
NX_O75688	ENST00000409473
NX_O75688	ENST00000419807
NX_O75689	ENST00000435943
NX_O75689	ENST00000437486
NX_O75689	ENST00000453175
NX_O75689	ENST00000453823
NX_O75689	ENST00000454383
NX_O75689	ENST00000617043
NX_O75694	ENST00000507675
NX_O75694	ENST00000513532
NX_O75711	ENST00000512188
NX_O75715	ENST00000550775
NX_O75715	ENST00000551639
NX_O75716	ENST00000409260
NX_O75716	ENST00000409516
NX_O75716	ENST00000409743
NX_O75717	ENST00000455555
NX_O75717	ENST00000567693
NX_O75718	ENST00000449224
NX_O75746	ENST00000426896
NX_O75746	ENST00000475360
NX_O75747	ENST00000535651
NX_O75747	ENST00000536967
NX_O75747	ENST00000538779
NX_O75747	ENST00000546003
NX_O75752	ENST00000417187
NX_O75752	ENST00000460353
NX_O75752	ENST00000468268
NX_O75752	ENST00000473142
NX_O75752	ENST00000484127
NX_O75752	ENST00000492353
NX_O75752	ENST00000494173
NX_O75752	ENST00000498216
NX_O75762	ENST00000523582
NX_O75764	ENST00000461794
NX_O75764	ENST00000476978
NX_O75764	ENST00000634832
NX_O75764	ENST00000635035
NX_O75764	ENST00000635356
NX_O75764	ENST00000635497
NX_O75771	ENST00000585343
NX_O75771	ENST00000586186
NX_O75771	ENST00000586210
NX_O75771	ENST00000587405
NX_O75771	ENST00000588372
NX_O75771	ENST00000590631
NX_O75771	ENST00000592577
NX_O75771	ENST00000592850
NX_O75781	ENST00000586055
NX_O75781	ENST00000590161
NX_O75781	ENST00000592155
NX_O75783	ENST00000561556
NX_O75787	ENST00000378438
NX_O75787	ENST00000423649
NX_O75787	ENST00000436783
NX_O75787	ENST00000447485
NX_O75787	ENST00000486558
NX_O75787	ENST00000635734
NX_O75787	ENST00000635774
NX_O75787	ENST00000636196
NX_O75787	ENST00000636251
NX_O75787	ENST00000636287
NX_O75787	ENST00000636574
NX_O75787	ENST00000636639
NX_O75787	ENST00000636787
NX_O75787	ENST00000636970
NX_O75787	ENST00000637165
NX_O75787	ENST00000637327
NX_O75787	ENST00000637482
NX_O75787	ENST00000637526
NX_O75787	ENST00000637614
NX_O75787	ENST00000637955
NX_O75787	ENST00000638153
NX_O75791	ENST00000420971
NX_O75794	ENST00000378900
NX_O75794	ENST00000429258
NX_O75794	ENST00000440613
NX_O75794	ENST00000442050
NX_O75800	ENST00000431869
NX_O75800	ENST00000442887
NX_O75800	ENST00000443080
NX_O75807	ENST00000600406
NX_O75808	ENST00000562370
NX_O75808	ENST00000566977
NX_O75808	ENST00000568988
NX_O75808	ENST00000637507
NX_O75817	ENST00000457480
NX_O75818	ENST00000464646
NX_O75818	ENST00000479782
NX_O75818	ENST00000618533
NX_O75821	ENST00000587146
NX_O75821	ENST00000587993
NX_O75821	ENST00000588709
NX_O75821	ENST00000589454
NX_O75821	ENST00000593054
NX_O75821	ENST00000593066
NX_O75821	ENST00000593095
NX_O75822	ENST00000536248
NX_O75822	ENST00000558353
NX_O75829	ENST00000431550
NX_O75830	ENST00000466903
NX_O75830	ENST00000467583
NX_O75832	ENST00000340200
NX_O75832	ENST00000372295
NX_O75832	ENST00000372296
NX_O75838	ENST00000557818
NX_O75838	ENST00000557917
NX_O75838	ENST00000559054
NX_O75838	ENST00000559645
NX_O75838	ENST00000560618
NX_O75838	ENST00000561190
NX_O75840	ENST00000426163
NX_O75840	ENST00000435602
NX_O75840	ENST00000451244
NX_O75840	ENST00000457962
NX_O75841	ENST00000460625
NX_O75841	ENST00000479520
NX_O75841	ENST00000494855
NX_O75841	ENST00000497685
NX_O75843	ENST00000553756
NX_O75843	ENST00000554477
NX_O75843	ENST00000556843
NX_O75843	ENST00000556943
NX_O75843	ENST00000557162
NX_O75843	ENST00000557189
NX_O75845	ENST00000527762
NX_O75845	ENST00000534230
NX_O75864	ENST00000544069
NX_O75871	ENST00000600925
NX_O75871	ENST00000616476
NX_O75871	ENST00000626555
NX_O75874	ENST00000415282
NX_O75874	ENST00000417583
NX_O75874	ENST00000451391
NX_O75879	ENST00000503160
NX_O75879	ENST00000508611
NX_O75879	ENST00000510720
NX_O75879	ENST00000511538
NX_O75879	ENST00000512306
NX_O75879	ENST00000515812
NX_O75879	ENST00000515884
NX_O75880	ENST00000577335
NX_O75880	ENST00000577427
NX_O75888	ENST00000380535
NX_O75888	ENST00000436057
NX_O75888	ENST00000438470
NX_O75888	ENST00000483039
NX_O75891	ENST00000460368
NX_O75891	ENST00000473607
NX_O75891	ENST00000488356
NX_O75891	ENST00000490367
NX_O75891	ENST00000493803
NX_O75891	ENST00000509952
NX_O75891	ENST00000511283
NX_O75896	ENST00000417867
NX_O75896	ENST00000421918
NX_O75896	ENST00000454201
NX_O75899	ENST00000634457
NX_O75899	ENST00000637717
NX_O75900	ENST00000378675
NX_O75900	ENST00000435358
NX_O75900	ENST00000472264
NX_O75900	ENST00000479814
NX_O75900	ENST00000490017
NX_O75900	ENST00000503792
NX_O75900	ENST00000512731
NX_O75907	ENST00000332324
NX_O75908	ENST00000551896
NX_O75909	ENST00000555049
NX_O75909	ENST00000555842
NX_O75909	ENST00000557441
NX_O75911	ENST00000430996
NX_O75911	ENST00000464917
NX_O75912	ENST00000424189
NX_O75912	ENST00000446122
NX_O75912	ENST00000453654
NX_O75912	ENST00000614521
NX_O75914	ENST00000429193
NX_O75914	ENST00000620137
NX_O75915	ENST00000478935
NX_O75915	ENST00000484921
NX_O75915	ENST00000485444
NX_O75916	ENST00000443584
NX_O75916	ENST00000584234
NX_O75920	ENST00000503931
NX_O75920	ENST00000504458
NX_O75920	ENST00000506542
NX_O75920	ENST00000507348
NX_O75920	ENST00000511162
NX_O75920	ENST00000512649
NX_O75920	ENST00000512868
NX_O75920	ENST00000513436
NX_O75920	ENST00000515588
NX_O75920	ENST00000611277
NX_O75920	ENST00000611616
NX_O75920	ENST00000611952
NX_O75920	ENST00000613172
NX_O75920	ENST00000613176
NX_O75920	ENST00000614310
NX_O75920	ENST00000614330
NX_O75920	ENST00000614527
NX_O75920	ENST00000621240
NX_O75920	ENST00000621283
NX_O75920	ENST00000622047
NX_O75920	ENST00000622553
NX_O75920	ENST00000625862
NX_O75920	ENST00000625868
NX_O75920	ENST00000626049
NX_O75920	ENST00000627372
NX_O75920	ENST00000627451
NX_O75920	ENST00000627838
NX_O75920	ENST00000628126
NX_O75920	ENST00000628627
NX_O75920	ENST00000628888
NX_O75920	ENST00000629958
NX_O75920	ENST00000630348
NX_O75920	ENST00000630567
NX_O75920	ENST00000630603
NX_O75925	ENST00000562190
NX_O75925	ENST00000563996
NX_O75925	ENST00000564915
NX_O75928	ENST00000398654
NX_O75928	ENST00000545673
NX_O75928	ENST00000586953
NX_O75928	ENST00000587810
NX_O75928	ENST00000589917
NX_O75928	ENST00000592212
NX_O75928	ENST00000592221
NX_O75935	ENST00000378911
NX_O75935	ENST00000378913
NX_O75935	ENST00000421919
NX_O75935	ENST00000477738
NX_O75936	ENST00000533566
NX_O75937	ENST00000603289
NX_O75943	ENST00000506564
NX_O75943	ENST00000507927
NX_O75943	ENST00000508320
NX_O75943	ENST00000512785
NX_O75943	ENST00000513214
NX_O75943	ENST00000610584
NX_O75943	ENST00000610770
NX_O75943	ENST00000611001
NX_O75943	ENST00000611523
NX_O75943	ENST00000611548
NX_O75943	ENST00000612044
NX_O75943	ENST00000613281
NX_O75943	ENST00000613417
NX_O75943	ENST00000614140
NX_O75943	ENST00000616158
NX_O75943	ENST00000616488
NX_O75943	ENST00000616759
NX_O75943	ENST00000617338
NX_O75943	ENST00000620889
NX_O75943	ENST00000621274
NX_O75943	ENST00000621806
NX_O75947	ENST00000538432
NX_O75951	ENST00000612374
NX_O75951	ENST00000617692
NX_O75951	ENST00000632590
NX_O75951	ENST00000633033
NX_O75952	ENST00000577705
NX_O75952	ENST00000579102
NX_O75952	ENST00000579956
NX_O75952	ENST00000581397
NX_O75952	ENST00000581872
NX_O75952	ENST00000584752
NX_O75952	ENST00000585037
NX_O75953	ENST00000443266
NX_O75953	ENST00000458263
NX_O75953	ENST00000469798
NX_O75953	ENST00000537321
NX_O75953	ENST00000539059
NX_O75954	ENST00000407263
NX_O75954	ENST00000444315
NX_O75955	ENST00000383382
NX_O75955	ENST00000383562
NX_O75955	ENST00000411778
NX_O75955	ENST00000411944
NX_O75955	ENST00000413165
NX_O75955	ENST00000416018
NX_O75955	ENST00000416389
NX_O75955	ENST00000418160
NX_O75955	ENST00000421565
NX_O75955	ENST00000422636
NX_O75955	ENST00000424683
NX_O75955	ENST00000427784
NX_O75955	ENST00000428438
NX_O75955	ENST00000431913
NX_O75955	ENST00000436197
NX_O75955	ENST00000436822
NX_O75955	ENST00000438134
NX_O75955	ENST00000438162
NX_O75955	ENST00000439376
NX_O75955	ENST00000439743
NX_O75955	ENST00000442932
NX_O75955	ENST00000444497
NX_O75955	ENST00000444632
NX_O75955	ENST00000445319
NX_O75955	ENST00000445383
NX_O75955	ENST00000445669
NX_O75955	ENST00000445853
NX_O75955	ENST00000454249
NX_O75955	ENST00000454773
NX_O75955	ENST00000454845
NX_O75955	ENST00000455034
NX_O75955	ENST00000456042
NX_O75955	ENST00000456844
NX_O75955	ENST00000458306
NX_O75956	ENST00000531178
NX_O75956	ENST00000531506
NX_O75962	ENST00000509967
NX_O75962	ENST00000512070
NX_O75962	ENST00000513206
NX_O75962	ENST00000620511
NX_O75964	ENST00000524422
NX_O75969	ENST00000536414
NX_O75969	ENST00000540967
NX_O75970	ENST00000433359
NX_O75970	ENST00000437441
NX_O75970	ENST00000438511
NX_O75970	ENST00000494251
NX_O75970	ENST00000535169
NX_O75970	ENST00000538841
NX_O75970	ENST00000542239
NX_O75970	ENST00000542806
NX_O75970	ENST00000545857
NX_O75970	ENST00000546205
NX_O75971	ENST00000565465
NX_O75971	ENST00000566658
NX_O75971	ENST00000568875
NX_O75976	ENST00000579502
NX_O75976	ENST00000584050
NX_O75976	ENST00000584221
NX_O76000	ENST00000383653
NX_O76000	ENST00000415976
NX_O76000	ENST00000419873
NX_O76000	ENST00000420178
NX_O76000	ENST00000444830
NX_O76000	ENST00000450817
NX_O76000	ENST00000456140
NX_O76001	ENST00000383651
NX_O76001	ENST00000414140
NX_O76001	ENST00000418630
NX_O76001	ENST00000419260
NX_O76001	ENST00000428081
NX_O76001	ENST00000430478
NX_O76002	ENST00000358688
NX_O76002	ENST00000411588
NX_O76002	ENST00000415857
NX_O76002	ENST00000419605
NX_O76002	ENST00000427744
NX_O76002	ENST00000440124
NX_O76002	ENST00000457762
NX_O76009	ENST00000576236
NX_O76014	ENST00000574588
NX_O76021	ENST00000355674
NX_O76021	ENST00000570767
NX_O76021	ENST00000571988
NX_O76021	ENST00000572090
NX_O76021	ENST00000573029
NX_O76021	ENST00000573251
NX_O76021	ENST00000573618
NX_O76021	ENST00000573791
NX_O76024	ENST00000506362
NX_O76031	ENST00000559152
NX_O76031	ENST00000559218
NX_O76036	ENST00000594765
NX_O76036	ENST00000598576
NX_O76036	ENST00000610621
NX_O76036	ENST00000610753
NX_O76036	ENST00000611098
NX_O76036	ENST00000611105
NX_O76036	ENST00000611318
NX_O76036	ENST00000611561
NX_O76036	ENST00000611942
NX_O76036	ENST00000612239
NX_O76036	ENST00000612384
NX_O76036	ENST00000612403
NX_O76036	ENST00000612577
NX_O76036	ENST00000612645
NX_O76036	ENST00000612896
NX_O76036	ENST00000613135
NX_O76036	ENST00000613294
NX_O76036	ENST00000613556
NX_O76036	ENST00000613768
NX_O76036	ENST00000614638
NX_O76036	ENST00000615207
NX_O76036	ENST00000615622
NX_O76036	ENST00000615651
NX_O76036	ENST00000615717
NX_O76036	ENST00000616307
NX_O76036	ENST00000616677
NX_O76036	ENST00000617145
NX_O76036	ENST00000617154
NX_O76036	ENST00000617304
NX_O76036	ENST00000617784
NX_O76036	ENST00000617861
NX_O76036	ENST00000617973
NX_O76036	ENST00000618585
NX_O76036	ENST00000618973
NX_O76036	ENST00000619067
NX_O76036	ENST00000619077
NX_O76036	ENST00000619451
NX_O76036	ENST00000619679
NX_O76036	ENST00000620180
NX_O76036	ENST00000620296
NX_O76036	ENST00000620757
NX_O76036	ENST00000620906
NX_O76036	ENST00000620921
NX_O76036	ENST00000621059
NX_O76036	ENST00000621164
NX_O76036	ENST00000621652
NX_O76036	ENST00000621792
NX_O76036	ENST00000622270
NX_O76038	ENST00000334979
NX_O76038	ENST00000612225
NX_O76039	ENST00000463994
NX_O76039	ENST00000623364
NX_O76039	ENST00000624700
NX_O76039	ENST00000624953
NX_O76039	ENST00000635828
NX_O76039	ENST00000637881
NX_O76041	ENST00000434381
NX_O76041	ENST00000460652
NX_O76041	ENST00000473616
NX_O76041	ENST00000481592
NX_O76050	ENST00000437579
NX_O76050	ENST00000455386
NX_O76054	ENST00000415072
NX_O76054	ENST00000428195
NX_O76054	ENST00000429917
NX_O76054	ENST00000437022
NX_O76054	ENST00000452649
NX_O76054	ENST00000617837
NX_O76061	ENST00000518455
NX_O76061	ENST00000520648
NX_O76062	ENST00000524690
NX_O76062	ENST00000524986
NX_O76062	ENST00000525385
NX_O76062	ENST00000526085
NX_O76062	ENST00000526809
NX_O76062	ENST00000527968
NX_O76062	ENST00000528802
NX_O76062	ENST00000529292
NX_O76062	ENST00000529414
NX_O76062	ENST00000529601
NX_O76062	ENST00000530750
NX_O76062	ENST00000531321
NX_O76062	ENST00000534371
NX_O76064	ENST00000469316
NX_O76064	ENST00000487950
NX_O76064	ENST00000494320
NX_O76064	ENST00000498460
NX_O76070	ENST00000348795
NX_O76074	ENST00000394439
NX_O76074	ENST00000420633
NX_O76074	ENST00000503412
NX_O76075	ENST00000338895
NX_O76075	ENST00000341385
NX_O76075	ENST00000378206
NX_O76075	ENST00000461150
NX_O76075	ENST00000468793
NX_O76075	ENST00000475969
NX_O76075	ENST00000477548
NX_O76075	ENST00000625756
NX_O76080	ENST00000376956
NX_O76081	ENST00000522225
NX_O76082	ENST00000415928
NX_O76082	ENST00000437841
NX_O76082	ENST00000447841
NX_O76082	ENST00000448810
NX_O76090	ENST00000524926
NX_O76090	ENST00000526988
NX_O76090	ENST00000534553
NX_O76094	ENST00000504757
NX_O76094	ENST00000505314
NX_O77932	ENST00000383330
NX_O77932	ENST00000399936
NX_O77932	ENST00000399937
NX_O77932	ENST00000414092
NX_O77932	ENST00000419797
NX_O77932	ENST00000426498
NX_O77932	ENST00000427627
NX_O77932	ENST00000427690
NX_O77932	ENST00000432110
NX_O77932	ENST00000439989
NX_O77932	ENST00000443250
NX_O77932	ENST00000446967
NX_O77932	ENST00000453742
NX_O77932	ENST00000454430
NX_O77932	ENST00000458308
NX_O77932	ENST00000480240
NX_O77932	ENST00000495340
NX_O94759	ENST00000397932
NX_O94759	ENST00000431901
NX_O94759	ENST00000621064
NX_O94761	ENST00000301323
NX_O94761	ENST00000524998
NX_O94761	ENST00000531875
NX_O94761	ENST00000532846
NX_O94761	ENST00000534538
NX_O94761	ENST00000534626
NX_O94761	ENST00000621189
NX_O94762	ENST00000578201
NX_O94762	ENST00000580078
NX_O94762	ENST00000580707
NX_O94762	ENST00000581825
NX_O94762	ENST00000582464
NX_O94762	ENST00000582548
NX_O94763	ENST00000570564
NX_O94763	ENST00000573052
NX_O94763	ENST00000574233
NX_O94763	ENST00000574666
NX_O94763	ENST00000575242
NX_O94763	ENST00000576442
NX_O94763	ENST00000585655
NX_O94766	ENST00000531383
NX_O94766	ENST00000532585
NX_O94766	ENST00000534715
NX_O94768	ENST00000420683
NX_O94768	ENST00000449152
NX_O94768	ENST00000606789
NX_O94769	ENST00000375540
NX_O94769	ENST00000395534
NX_O94772	ENST00000610554
NX_O94772	ENST00000615434
NX_O94772	ENST00000631670
NX_O94777	ENST00000373110
NX_O94778	ENST00000566125
NX_O94779	ENST00000279463
NX_O94779	ENST00000619298
NX_O94782	ENST00000442679
NX_O94782	ENST00000452143
NX_O94788	ENST00000557967
NX_O94788	ENST00000558239
NX_O94788	ENST00000558384
NX_O94788	ENST00000561070
NX_O94804	ENST00000520476
NX_O94805	ENST00000461605
NX_O94806	ENST00000443187
NX_O94806	ENST00000443977
NX_O94806	ENST00000452104
NX_O94808	ENST00000503228
NX_O94808	ENST00000518906
NX_O94810	ENST00000168869
NX_O94812	ENST00000561793
NX_O94812	ENST00000566162
NX_O94813	ENST00000273739
NX_O94813	ENST00000508824
NX_O94813	ENST00000509941
NX_O94813	ENST00000511508
NX_O94813	ENST00000512993
NX_O94813	ENST00000622093
NX_O94817	ENST00000379594
NX_O94817	ENST00000505993
NX_O94817	ENST00000513167
NX_O94817	ENST00000513322
NX_O94818	ENST00000586309
NX_O94818	ENST00000586314
NX_O94818	ENST00000586553
NX_O94818	ENST00000590712
NX_O94818	ENST00000591917
NX_O94819	ENST00000617214
NX_O94822	ENST00000389195
NX_O94822	ENST00000483326
NX_O94823	ENST00000520108
NX_O94827	ENST00000377740
NX_O94829	ENST00000372339
NX_O94830	ENST00000526144
NX_O94830	ENST00000526237
NX_O94830	ENST00000527415
NX_O94830	ENST00000527834
NX_O94830	ENST00000528358
NX_O94830	ENST00000528613
NX_O94830	ENST00000529642
NX_O94830	ENST00000529845
NX_O94830	ENST00000532106
NX_O94830	ENST00000532222
NX_O94830	ENST00000533100
NX_O94832	ENST00000394649
NX_O94832	ENST00000577252
NX_O94832	ENST00000579584
NX_O94832	ENST00000583621
NX_O94842	ENST00000416256
NX_O94842	ENST00000447695
NX_O94842	ENST00000455138
NX_O94842	ENST00000455393
NX_O94842	ENST00000457430
NX_O94851	ENST00000524685
NX_O94851	ENST00000525119
NX_O94851	ENST00000526065
NX_O94851	ENST00000530823
NX_O94851	ENST00000532179
NX_O94851	ENST00000532420
NX_O94851	ENST00000533389
NX_O94855	ENST00000419654
NX_O94855	ENST00000503683
NX_O94855	ENST00000506622
NX_O94855	ENST00000509818
NX_O94855	ENST00000511481
NX_O94855	ENST00000514561
NX_O94856	ENST00000367173
NX_O94856	ENST00000413225
NX_O94856	ENST00000425360
NX_O94856	ENST00000430393
NX_O94856	ENST00000447819
NX_O94856	ENST00000504476
NX_O94856	ENST00000505079
NX_O94868	ENST00000409263
NX_O94868	ENST00000409314
NX_O94868	ENST00000422375
NX_O94868	ENST00000432043
NX_O94868	ENST00000458644
NX_O94868	ENST00000543644
NX_O94875	ENST00000319454
NX_O94875	ENST00000393523
NX_O94875	ENST00000414724
NX_O94875	ENST00000415274
NX_O94875	ENST00000419063
NX_O94875	ENST00000420158
NX_O94875	ENST00000421420
NX_O94875	ENST00000421639
NX_O94875	ENST00000425679
NX_O94875	ENST00000428330
NX_O94875	ENST00000429056
NX_O94875	ENST00000430503
NX_O94875	ENST00000431902
NX_O94875	ENST00000432655
NX_O94875	ENST00000435480
NX_O94875	ENST00000438278
NX_O94875	ENST00000439049
NX_O94875	ENST00000439914
NX_O94875	ENST00000444771
NX_O94875	ENST00000444781
NX_O94875	ENST00000445115
NX_O94875	ENST00000445343
NX_O94875	ENST00000445625
NX_O94875	ENST00000450341
NX_O94875	ENST00000451701
NX_O94875	ENST00000451958
NX_O94875	ENST00000451974
NX_O94875	ENST00000452351
NX_O94875	ENST00000456060
NX_O94875	ENST00000456596
NX_O94875	ENST00000457247
NX_O94875	ENST00000457934
NX_O94876	ENST00000426664
NX_O94876	ENST00000432054
NX_O94876	ENST00000505616
NX_O94876	ENST00000510323
NX_O94876	ENST00000513411
NX_O94880	ENST00000521747
NX_O94880	ENST00000634607
NX_O94885	ENST00000622663
NX_O94885	ENST00000636279
NX_O94885	ENST00000637469
NX_O94885	ENST00000637729
NX_O94886	ENST00000436966
NX_O94886	ENST00000537914
NX_O94887	ENST00000412332
NX_O94887	ENST00000413432
NX_O94887	ENST00000418082
NX_O94887	ENST00000422951
NX_O94887	ENST00000444371
NX_O94887	ENST00000445489
NX_O94888	ENST00000381887
NX_O94888	ENST00000413584
NX_O94888	ENST00000428095
NX_O94888	ENST00000429160
NX_O94889	ENST00000433449
NX_O94889	ENST00000437353
NX_O94889	ENST00000442272
NX_O94892	ENST00000597273
NX_O94892	ENST00000598745
NX_O94892	ENST00000600368
NX_O94892	ENST00000601310
NX_O94901	ENST00000405266
NX_O94901	ENST00000419312
NX_O94901	ENST00000421580
NX_O94901	ENST00000424128
NX_O94901	ENST00000429178
NX_O94901	ENST00000433212
NX_O94901	ENST00000435699
NX_O94901	ENST00000439679
NX_O94901	ENST00000440380
NX_O94901	ENST00000450881
NX_O94901	ENST00000457598
NX_O94901	ENST00000457861
NX_O94903	ENST00000518036
NX_O94903	ENST00000523187
NX_O94903	ENST00000523358
NX_O94903	ENST00000523521
NX_O94905	ENST00000518526
NX_O94905	ENST00000521644
NX_O94910	ENST00000589616
NX_O94910	ENST00000592164
NX_O94910	ENST00000593005
NX_O94911	ENST00000430352
NX_O94911	ENST00000585531
NX_O94911	ENST00000589533
NX_O94911	ENST00000615593
NX_O94913	ENST00000530304
NX_O94913	ENST00000530660
NX_O94913	ENST00000530906
NX_O94913	ENST00000533018
NX_O94915	ENST00000505759
NX_O94915	ENST00000506685
NX_O94915	ENST00000507711
NX_O94915	ENST00000514617
NX_O94916	ENST00000563474
NX_O94916	ENST00000565301
NX_O94916	ENST00000567990
NX_O94921	ENST00000430760
NX_O94921	ENST00000431029
NX_O94921	ENST00000436577
NX_O94921	ENST00000446224
NX_O94921	ENST00000446790
NX_O94921	ENST00000449528
NX_O94921	ENST00000456689
NX_O94925	ENST00000409215
NX_O94925	ENST00000409428
NX_O94925	ENST00000409626
NX_O94925	ENST00000412247
NX_O94925	ENST00000417154
NX_O94925	ENST00000457316
NX_O94927	ENST00000424522
NX_O94927	ENST00000590994
NX_O94927	ENST00000592291
NX_O94929	ENST00000356541
