UniProt-AC	UniProt-AC_reviewed	UniProt-ID	GeneID	RefSeq	GI	PDB	GO	PIR	MIM	UniGene	Ensembl_Gene	Ensembl_Transcript	Ensembl_Protein	BioGrid	STRING	KEGG	Gene_Name
O35116	O35116	CTND2_RAT			20177849; 2618607		GO:0005913; GO:0005911; GO:0005737; GO:0030425; GO:0043005; GO:0005634; GO:0043204; GO:0005886; GO:0014069; GO:0008013; GO:0045296; GO:0098609; GO:0007043; GO:0060997; GO:0007612; GO:0001763; GO:0060828; GO:0048167; GO:0050808								10116.ENSRNOP00000045121		Ctnnd2
Q0V8T6	Q0V8T6	CTP5A_RAT	297832	NP_001041330.1	114145407; 123789345		GO:0016021; GO:0007155								10116.ENSRNOP00000044412	rno:297832	Cntnap5a
Q0V8T5	Q0V8T5	CTP5B_RAT	304725	NP_001316828.1	123782692; 1049480125		GO:0016021; GO:0005509; GO:0007155				ENSRNOG00000029556	ENSRNOT00000046060	ENSRNOP00000044394		10116.ENSRNOP00000044394	rno:304725	Cntnap5b
Q0V8T4	Q0V8T4	CTP5C_RAT	301650	NP_001041338.1	114145461; 123778438		GO:0016021; GO:0005509; GO:0007155								10116.ENSRNOP00000040012	rno:301650	Cntnap5c
Q0V8T3	Q0V8T3	CTP5D_RAT	297846	NP_001041331.1	123786012; 114145415		GO:0016021; GO:0007155								10116.ENSRNOP00000062287	rno:297846	Cntnap5d
P30823	P30823	CTR1_RAT			1015327; 1706187		GO:0016021; GO:0005886; GO:0032991; GO:0015181; GO:0015174; GO:0015189; GO:0000064; GO:0015809; GO:0015802; GO:0097638; GO:1903352; GO:0032006								10116.ENSRNOP00000001234		Slc7a1
B5D5N9	B5D5N9	CTR2_RAT	64554	NP_001128158.1; NP_072141.2	238055159; 149021362; 197927386; 33339122; 33339120; 149021361; 197927384		GO:0030054; GO:0016021; GO:0005886; GO:0015181; GO:0005289; GO:0097627; GO:0005292; GO:0061459; GO:0015189; GO:0000064; GO:0097626; GO:0015809; GO:0097638; GO:1902023; GO:0097639; GO:0097640; GO:1903352; GO:0042116; GO:0006809; GO:0002537; GO:0050727; GO:0043030				ENSRNOG00000011016	ENSRNOT00000014809; ENSRNOT00000015127	ENSRNOP00000014809; ENSRNOP00000015127	249135	10116.ENSRNOP00000055811	rno:64554	Slc7a2
O08812	O08812	CTR3_RAT	29485	NP_058913.1	41016762; 8392944; 2116552		GO:0016021; GO:0005886; GO:0015181; GO:0015174; GO:0015189; GO:0000064; GO:0015809; GO:0097638; GO:1903352; GO:0015819; GO:0015822; GO:0032006								10116.ENSRNOP00000068222	rno:29485	Slc7a3
P07338	P07338	CTRB1_RAT	24291	NP_036668.1	33357235; 6978717; 158428967; 33357234; 158428968; 203654; 158428966; 117618	1KDQ:A; 1KDQ:B; 2JET:A; 2JET:B; 2JET:C	GO:0005737; GO:0005615; GO:0005764; GO:0008233; GO:0004252; GO:0007586; GO:0043065; GO:0030163; GO:0006508; GO:0034097; GO:0032094; GO:0007584; GO:0043434; GO:0009636	A22658							10116.ENSRNOP00000026017	rno:24291	Ctrb1
P55091	P55091	CTRC_RAT	362653	NP_001071117.1	1246029; 56091; 1705913; 117647210; 149024526		GO:0004252	JQ1473			ENSRNOG00000013745	ENSRNOT00000018393	ENSRNOP00000018393		10116.ENSRNOP00000018393	rno:362653	Ctrc
E9PSL7	E9PSL7	CTRO_RAT	83620	NP_001025082.1; XP_006249534.1	2745840; 71361669; 564379705		GO:0015629; GO:0032154; GO:0005737; GO:0005856; GO:0005829; GO:0031985; GO:0030496; GO:0043025; GO:0005634; GO:0005886; GO:0001726; GO:0005773; GO:0005524; GO:0046872; GO:0030165; GO:0004674; GO:0097110; GO:0031032; GO:0030866; GO:0016358; GO:0000086; GO:0048699; GO:0007030; GO:0035556; GO:0001889; GO:0007091; GO:0000278; GO:0000281; GO:0000070; GO:0050774; GO:0051402; GO:0018107; GO:0032467; GO:0008064; GO:0007283				ENSRNOG00000001143	ENSRNOT00000057036	ENSRNOP00000053869		10116.ENSRNOP00000053869	rno:83620	Cit
Q5XIK8	Q5XIK8	CTSL2_RAT	311368	NP_001014070.1	62078827; 149023119; 53734232; 81883796		GO:0005634; GO:0004721; GO:0030514; GO:0046827; GO:0006470								10116.ENSRNOP00000033786	rno:311368	Ctdspl2
Q6AXP6	Q6AXP6	CTSR2_RAT	366174	NP_001012220.1; XP_008760409.1; XP_017447438.1	1046880599; 50927410; 149023096; 672046935; 81884448; 58866014		GO:0036128; GO:0036126; GO:0005227; GO:0005262; GO:0005244; GO:0009566; GO:0030317; GO:0007275; GO:0034765; GO:0048240				ENSRNOG00000023064	ENSRNOT00000030019	ENSRNOP00000038712		10116.ENSRNOP00000038712	rno:366174	Catsper2
B5DFM7	B5DFM7	CTSRD_RAT	680264	NP_001128456.1	385178628; 197245858; 201066391		GO:0036128; GO:0097228; GO:0030317; GO:0007275; GO:0048240; GO:0007283								10116.ENSRNOP00000067404	rno:680264	Catsperd
Q2IBD4	Q2IBD4	CTTB2_RAT	282587	NP_001107873.1	38322766; 123786237; 3608372; 167555091; 149065052		GO:0005938; GO:0030054; GO:0043197; GO:0098978; GO:0098871; GO:0008021; GO:0017124; GO:0007420; GO:1905274; GO:0050807				ENSRNOG00000061845	ENSRNOT00000087167	ENSRNOP00000072761		10116.ENSRNOP00000011135	rno:282587	Cttnbp2
B1WBV0	B1WBV0	CTU1_RAT	292847	NP_001099721.1; XP_006229046.1	157819969; 226711429; 149056111; 564327924; 171847383		GO:0005829; GO:0002144; GO:0016779; GO:0000049; GO:0032447; GO:0034227; GO:0002143; GO:0002098				ENSRNOG00000018334	ENSRNOT00000024690	ENSRNOP00000024690		10116.ENSRNOP00000024690	rno:292847	Ctu1
Q3B7U4	Q3B7U4	CTU2_RAT	292069	NP_001032171.1	123780340; 50926101; 550544264; 58477373; 80861393		GO:0005829; GO:0032991; GO:0016779; GO:0016783; GO:0000049; GO:0032447; GO:0034227; GO:0002143; GO:0002098								10116.ENSRNOP00000032394	rno:292069	Ctu2
P41237	P41237	CTXN1_RAT	29145	NP_001103405.1	158261981; 729225		GO:0016021; GO:0007417	JH0814			ENSRNOG00000001057	ENSRNOT00000001399	ENSRNOP00000001399		10116.ENSRNOP00000001399	rno:29145	Ctxn1
O70244	O70244	CUBN_RAT	80848	NP_445784.1	81870483; 16758040; 3834380		GO:0045177; GO:0016324; GO:0005903; GO:0031526; GO:0005623; GO:0005905; GO:0030135; GO:0005737; GO:0030139; GO:0030666; GO:0005783; GO:0005768; GO:0010008; GO:0070062; GO:0005794; GO:0005798; GO:0043202; GO:0005765; GO:0016020; GO:0005886; GO:0032991; GO:0005509; GO:0038024; GO:0031419; GO:0008144; GO:0030492; GO:0042802; GO:0042803; GO:0038023; GO:0008203; GO:0042366; GO:0015889; GO:0020028; GO:0001701; GO:0042953; GO:0006898; GO:0009617; GO:0007584; GO:0006766	T08618						249486	10116.ENSRNOP00000048477	rno:80848	Cubn
A1L131	A1L131	CUED2_RAT	294009	NP_001073355.1; XP_006231527.1; XP_006231528.1; XP_008758631.2	564333938; 564333940; 1046841776; 120586983; 142979738; 119850886		GO:0005829; GO:0031965; GO:0005654; GO:1900016; GO:0010936				ENSRNOG00000019574	ENSRNOT00000026609	ENSRNOP00000026609		10116.ENSRNOP00000026609	rno:294009	Cuedc2
B5DF89	B5DF89	CUL3_RAT	301555	XP_008765448.1; XP_017451863.1; XP_017451864.1	1046903927; 672065574; 302595917; 1046903929		GO:0005623; GO:0005813; GO:0031463; GO:0005737; GO:0005794; GO:0000139; GO:0072686; GO:0005634; GO:0005827; GO:0036126; GO:0000922; GO:0030332; GO:0005112; GO:0031208; GO:0046982; GO:0042803; GO:0031625; GO:0031145; GO:0016477; GO:0000902; GO:0030030; GO:0048208; GO:0040016; GO:0006888; GO:0044346; GO:0007369; GO:0001701; GO:0007229; GO:0072576; GO:0000278; GO:0007080; GO:0035024; GO:0000122; GO:0071630; GO:0032467; GO:1901992; GO:0045842; GO:0031398; GO:0043161; GO:0031648; GO:0006513; GO:0000209; GO:0016567; GO:0006357; GO:0017145; GO:0043149; GO:0001831; GO:0006511; GO:0016055							257002	10116.ENSRNOP00000021528		Cul3
Q9JJ31	Q9JJ31	CUL5_RAT	64624	NP_073174.1	7381163; 13124593; 12083629		GO:0005623; GO:0031466; GO:0031461; GO:0005737; GO:0005634; GO:0005886; GO:0019005; GO:0090734; GO:0046982; GO:0031625; GO:0004842; GO:0005000; GO:0021799; GO:0043161; GO:0000209; GO:0016567; GO:0021942; GO:0051480; GO:0006970; GO:0031146; GO:0006511							249162	10116.ENSRNOP00000010956	rno:64624	Cul5
D3ZEF4	D3ZEF4	CUL7_RAT			487523316		GO:1990393; GO:0005813; GO:0031467; GO:0005737; GO:0005794; GO:0048471; GO:0031625; GO:0001837; GO:0007030; GO:0000226; GO:0000281; GO:0001890; GO:0050775; GO:0016567; GO:0007088; GO:0006511; GO:0001570								10116.ENSRNOP00000024266		Cul7
Q6MGD0	Q6MGD0	CUTA_RAT	294288	NP_001158178.1; NP_001158179.1	39654388; 257796237; 62286457; 39654386; 39654385; 39654390; 39654387; 257796233; 39654389	1OSC:A; 1OSC:B; 1OSC:C; 1OSC:D; 1OSC:E; 1OSC:F	GO:0016020; GO:0005507; GO:0019899; GO:0051260; GO:0008104; GO:0010038								10116.ENSRNOP00000000568	rno:294288	Cuta
P53565	P53565	CUX1_RAT	116639	XP_008758482.1; XP_008767387.1	672072760; 532532; 663434101; 672026660; 1705737		GO:0005737; GO:0000139; GO:0043005; GO:0005654; GO:0005634; GO:0003682; GO:0003677; GO:0030674; GO:0000977; GO:0043565; GO:0048193; GO:0042491; GO:0001822; GO:0030324; GO:0000122; GO:0050775; GO:0000301	B53689			ENSRNOG00000001424	ENSRNOT00000059486	ENSRNOP00000056243		10116.ENSRNOP00000001928	rno:116639	Cux1
Q9QZT0	Q9QZT0	CUZD1_RAT	117179	NP_446457.1	2460316; 60422826; 94709699; 16758922; 81869560; 5916203		GO:0016021; GO:0030658; GO:0042588; GO:0042589; GO:0007565; GO:0009755; GO:0032023								10116.ENSRNOP00000045430	rno:117179	Cuzd1
Q5BJP2	Q5BJP2	CWC15_RAT	300361	NP_001020158.1; XP_006242582.1	60551567; 81882491; 149020667; 68163413; 564362328; 149020668		GO:0071013; GO:0005634; GO:0005681; GO:0071007; GO:0003723; GO:0045292; GO:0000398				ENSRNOG00000008490	ENSRNOT00000011855	ENSRNOP00000011856		10116.ENSRNOP00000011856	rno:300361	Cwc15
Q5XIB2	Q5XIB2	CWC27_RAT	361887	NP_001013217.1	53733559; 61557257; 81889854		GO:0071013; GO:0005654; GO:0005634; GO:0071005; GO:0003755; GO:0006457; GO:0000413				ENSRNOG00000013252	ENSRNOT00000017832	ENSRNOP00000017832		10116.ENSRNOP00000017832	rno:361887	Cwc27
Q3KR64	Q3KR64	CX049_RAT	500876	NP_001138613.1	223468699; 206558246; 76779350						ENSRNOG00000004914	ENSRNOT00000006510	ENSRNOP00000006510			rno:500876	
P35411	P35411	CX3C1_RAT	171056	NP_598218.1	149018248; 19424190; 439861; 548703		GO:0005623; GO:0009986; GO:0097447; GO:0009897; GO:0016021; GO:0043005; GO:0032809; GO:0048471; GO:0019957; GO:0016493; GO:0019960; GO:0016495; GO:0019956; GO:0004950; GO:0004896; GO:0004930; GO:0035425; GO:0019722; GO:0007155; GO:0060326; GO:0071222; GO:0071560; GO:0021626; GO:0021795; GO:0070098; GO:0006935; GO:0019221; GO:0006955; GO:0050901; GO:0048246; GO:0007613; GO:0002282; GO:0050804; GO:0150090; GO:0016525; GO:2001234; GO:0030336; GO:2001240; GO:0110091; GO:0032691; GO:1900272; GO:0007200; GO:0045766; GO:0007204; GO:1903721; GO:1904141; GO:0002052; GO:0050769; GO:0051092; GO:0051897; GO:0045428; GO:0042534; GO:0002931; GO:0035176; GO:0060074	I58186			ENSRNOG00000018509	ENSRNOT00000025019	ENSRNOP00000025019		10116.ENSRNOP00000025019	rno:171056	Cx3cr1
P10818	P10818	CX6A1_RAT	25282	NP_036946.1	818021; 77736544; 871526; 1352174; 149063563		GO:0005751; GO:0004129; GO:0030234; GO:0009060; GO:0006123	S01156; S65379			ENSRNOG00000001170	ENSRNOT00000001545	ENSRNOP00000001545		10116.ENSRNOP00000001545	rno:25282	Cox6a1
P10817	P10817	CX6A2_RAT			55985; 1352170		GO:0005751; GO:0004129; GO:0030234; GO:0009060; GO:0006123	S01157							10116.ENSRNOP00000026908		Cox6a2
P80430	P80430	CX6B1_RAT			1169067		GO:0016324; GO:0120001; GO:0009986; GO:0016021; GO:0005758; GO:0030855	S65381									Cox6b1
Q6YFQ1	Q6YFQ1	CX6B2_RAT	654441	NP_001034174.1	84874687; 33867279; 77416413; 149016666		GO:0030061; GO:0005739				ENSRNOG00000038616	ENSRNOT00000033197	ENSRNOP00000035591		10116.ENSRNOP00000035591	rno:654441	Cox6b2
P11950	P11950	CX6C1_RAT			149043193; 203712; 117118		GO:0016021; GO:0005743	B29907			ENSRNOG00000032602	ENSRNOT00000043529	ENSRNOP00000069985				Cox6c1
P11951	P11951	CX6C2_RAT	54322	NP_062233.2	160333459; 203710; 203515; 34849861; 203714; 203519; 149066530; 117119		GO:0016021; GO:0005751; GO:0004129	S00114			ENSRNOG00000010807	ENSRNOT00000014407	ENSRNOP00000014407	248538	10116.ENSRNOP00000014407	rno:54322	Cox6c2
P35171	P35171	CX7A2_RAT	29507; 688386	NP_071948.1; XP_003751415.1; XP_003752782.1	461803; 11968072; 392333069; 392353172		GO:0005746; GO:0004129; GO:0097250; GO:0002082	S13099; S65385			ENSRNOG00000042903	ENSRNOT00000066084	ENSRNOP00000060398	248145	10116.ENSRNOP00000060398	rno:29507;rno:688386	Cox7a2
P08050	P08050	CXA1_RAT	24392	NP_036699.1	159162920; 206581999; 149038620; 6978896; 51859470; 117708; 1000232131; 55979; 32816617; 206582000; 149038619; 149038621	1R5S:A; 2N8T:B; 3CYY:C; 3CYY:D	GO:0016324; GO:0005623; GO:0030054; GO:0044291; GO:0005911; GO:0005922; GO:0043292; GO:0005737; GO:0005829; GO:0005769; GO:0005789; GO:0005768; GO:0005916; GO:0005921; GO:0005794; GO:0000139; GO:0030660; GO:0005887; GO:0014704; GO:0005882; GO:0005770; GO:0016328; GO:0005764; GO:0016020; GO:0045121; GO:0005741; GO:0005739; GO:0005771; GO:0005654; GO:0005634; GO:0005886; GO:0032991; GO:0070160; GO:0043014; GO:0008013; GO:0048487; GO:0071253; GO:0097718; GO:0015562; GO:0005243; GO:1903763; GO:0055077; GO:0034634; GO:0015075; GO:0030165; GO:0019904; GO:1990782; GO:0097110; GO:0017124; GO:0005102; GO:0015631; GO:0007512; GO:0006915; GO:0015867; GO:0003294; GO:0048514; GO:0060348; GO:0046849; GO:0061337; GO:0007154; GO:0010643; GO:0010644; GO:0045216; GO:0007267; GO:0034613; GO:1904646; GO:0071260; GO:0071374; GO:0071467; GO:0002544; GO:0046697; GO:0042733; GO:0035050; GO:0003158; GO:1905867; GO:0002070; GO:0000132; GO:0140115; GO:0016264; GO:0014047; GO:0007507; GO:0001947; GO:0001701; GO:0034220; GO:0002088; GO:0035437; GO:0008584; GO:0099111; GO:0060156; GO:0060044; GO:0030308; GO:0008285; GO:2000279; GO:0001937; GO:0010629; GO:0032277; GO:1901164; GO:0061045; GO:0001764; GO:0048812; GO:0001649; GO:2000987; GO:0097755; GO:0010652; GO:0120162; GO:0007204; GO:0010628; GO:0003104; GO:0032024; GO:1905772; GO:1905332; GO:0045732; GO:2000648; GO:0045844; GO:0045907; GO:0042981; GO:0060371; GO:2000810; GO:0030500; GO:0046850; GO:0051924; GO:0010649; GO:0008016; GO:0022898; GO:0060373; GO:0060307; GO:0032355; GO:0034405; GO:0009749; GO:0002931; GO:0032496; GO:0043434; GO:0009268; GO:0032526; GO:0007165; GO:0043403; GO:0007283; GO:0042110; GO:0042098; GO:0055085; GO:0010232	A24047; S00532			ENSRNOG00000000805	ENSRNOT00000001054	ENSRNOP00000001054	246562	10116.ENSRNOP00000001054	rno:24392	Gja1
P29414	P29414	CXA3_RAT	79217	NP_077352.1	55977; 13242279; 231922		GO:0005922; GO:0005921; GO:0005887; GO:0045121; GO:0005886; GO:0005243; GO:0055077; GO:0042802; GO:0007154; GO:1990349; GO:0042542; GO:0009268; GO:0007601	S25764							10116.ENSRNOP00000011699	rno:79217	Gja3
Q03190	Q03190	CXA4_RAT	25655	NP_067686.1	55824763; 50926248; 149023983; 416854; 11067369; 203666		GO:0005922; GO:0005921; GO:0016021; GO:0001568; GO:0006816; GO:0007154; GO:0007267; GO:0003158; GO:0048265	B42053			ENSRNOG00000014357	ENSRNOT00000019246	ENSRNOP00000019246		10116.ENSRNOP00000019246	rno:25655	Gja4
P28234	P28234	CXA5_RAT	50563	NP_062153.1	9506725; 117702; 2674104; 203668; 204251; 254839148; 2465418; 149030558; 47477893	2K7M:A	GO:0042995; GO:0005922; GO:0005921; GO:0005887; GO:0014704; GO:0071253; GO:0097718; GO:0005243; GO:0086076; GO:0086077; GO:0086078; GO:0086075; GO:0055077; GO:0001525; GO:0048844; GO:0086044; GO:0003283; GO:0060413; GO:0003294; GO:0086067; GO:0086053; GO:0001568; GO:0086054; GO:0061337; GO:0003161; GO:0010643; GO:0010644; GO:0086064; GO:0086065; GO:0035050; GO:0030326; GO:0003158; GO:0035922; GO:0016264; GO:0007507; GO:0003174; GO:0045776; GO:0003105; GO:0003151; GO:0097755; GO:0010652; GO:0045907; GO:0006813; GO:0003193; GO:0098910; GO:0060371; GO:0098904; GO:0097746; GO:0098905; GO:0055117; GO:0010649; GO:0086091; GO:1900825; GO:0098906; GO:1900133; GO:0003073; GO:0060373; GO:0060307; GO:0003071; GO:0086015; GO:0003284; GO:0001501; GO:1990029; GO:0086005; GO:0003281; GO:0060412	A42053			ENSRNOG00000017484	ENSRNOT00000023488	ENSRNOP00000023488		10116.ENSRNOP00000023488	rno:50563	Gja5
P28233	P28233	CXA6_RAT	54256	NP_062181.1	117691; 9506727; 149042451; 203664		GO:0005922; GO:0016021; GO:0007154	C42053								rno:54256	Gja6
Q8K4Q9	Q8K4Q9	CXA8_RAT			81866800		GO:0005922; GO:0016021; GO:0005887; GO:0005886; GO:0005243; GO:0042802; GO:0043010; GO:0007267; GO:1990349; GO:0002088				ENSRNOG00000046703	ENSRNOT00000071622	ENSRNOP00000066975		10116.ENSRNOP00000066975		Gja8
Q9R066	Q9R066	CXAR_RAT	89843	NP_446022.1; XP_006248062.1	6013135; 149059717; 56789501; 71153256; 6013133; 564375921; 56961616		GO:0001669; GO:0005912; GO:0016327; GO:0016323; GO:0005923; GO:0044297; GO:0005913; GO:0005911; GO:0005737; GO:0005615; GO:0030175; GO:0030426; GO:0016021; GO:0014704; GO:0045121; GO:0031594; GO:0043005; GO:0005634; GO:0005886; GO:0032991; GO:0008013; GO:0050839; GO:0071253; GO:0042802; GO:0005178; GO:0030165; GO:0005102; GO:0031532; GO:0086067; GO:0086072; GO:0048739; GO:0098609; GO:0045216; GO:0051607; GO:0010669; GO:0046629; GO:0008354; GO:0007507; GO:0007157; GO:0034109; GO:0007005; GO:0060044; GO:0030593; GO:0098904; GO:0070633				ENSRNOG00000001557	ENSRNOT00000050701	ENSRNOP00000041873		10116.ENSRNOP00000041873	rno:89843	Cxadr
P08033	P08033	CXB1_RAT	29584	NP_058947.1; XP_008771477.1; XP_017457434.1	56206; 939964; 117690; 149042190; 8393444; 672087618; 1066846; 149042189; 1046906994; 51259312; 557742		GO:0005922; GO:0005737; GO:0005921; GO:0016021; GO:0016328; GO:0005886; GO:0032991; GO:0005243; GO:0042803; GO:0007154; GO:1905867; GO:0015868	A92745; I52552			ENSRNOG00000003746	ENSRNOT00000076816	ENSRNOP00000068248	248217	10116.ENSRNOP00000068248	rno:29584	Gjb1
P21994	P21994	CXB2_RAT	394266	NP_001004099.1; XP_017455254.1	1046861615; 149064068; 50927331; 51871607; 117672		GO:0097449; GO:0044297; GO:0030054; GO:0005922; GO:0005737; GO:0005829; GO:0005921; GO:0005887; GO:0016328; GO:0048471; GO:0005886; GO:0005509; GO:0005243; GO:1903763; GO:0042802; GO:0007568; GO:0007267; GO:0071549; GO:0071377; GO:0034599; GO:0046697; GO:1905867; GO:0007565; GO:0016264; GO:1990349; GO:0048839; GO:0046677; GO:0032355; GO:0044752; GO:0002931; GO:0032496; GO:0032570; GO:0032526; GO:0007605; GO:0055085	A33646			ENSRNOG00000008855	ENSRNOT00000011711	ENSRNOP00000011711		10116.ENSRNOP00000011711	rno:394266	Gjb2
P25305	P25305	CXB3_RAT	29585	NP_062113.1; XP_006238907.1	149023985; 9506731; 203660; 564352790; 149023984; 117686		GO:0005911; GO:0005922; GO:0005737; GO:0005921; GO:0016021; GO:0043231; GO:0007154; GO:0071300; GO:0001701; GO:0001890; GO:0043588; GO:0007283	A38737			ENSRNOG00000014372	ENSRNOT00000019266	ENSRNOP00000019266		10116.ENSRNOP00000019266	rno:29585	Gjb3
P36380	P36380	CXB4_RAT	117055	NP_446436.1	16758886; 544118; 431204		GO:0005922; GO:0005887; GO:0005243; GO:0007267; GO:1990349; GO:0042048; GO:0007608	I60240							10116.ENSRNOP00000033893	rno:117055	Gjb4
P28232	P28232	CXB5_RAT	29586	NP_062114.1; XP_008762212.1; XP_017448696.1	117683; 672053613; 9506733; 149023987; 203662; 1046887688		GO:0005922; GO:0016021; GO:0007154; GO:1905867; GO:0060713; GO:0060708; GO:0060707	D42053			ENSRNOG00000059897	ENSRNOT00000081919	ENSRNOP00000075127		10116.ENSRNOP00000019315	rno:29586	Gjb5
P30348	P30348	CXCL2_RAT	114105	NP_446099.1	56666; 266536; 16758460; 149033780; 13647123; 998407; 1228141		GO:0005623; GO:0005615; GO:0008009; GO:0061844; GO:0071347; GO:0071222; GO:0070098; GO:0006955; GO:0006954; GO:0031640; GO:0030595; GO:0070997; GO:0030593; GO:0007204; GO:0001975; GO:0032355; GO:0010332; GO:0051384; GO:0009408; GO:0002237; GO:0042060	S21467			ENSRNOG00000002792	ENSRNOT00000003745	ENSRNOP00000003745	250284	10116.ENSRNOP00000003745	rno:114105	Cxcl2
Q10746	Q10746	CXCL3_RAT	171551	NP_612531.1; XP_006250783.1	517144; 564383032; 149033774; 9967141; 9967171; 215273965; 9967172; 1709027; 19924051		GO:0005623; GO:0005615; GO:0008009; GO:0061844; GO:0071222; GO:0070098; GO:0006955; GO:0006954; GO:0031640; GO:0030595; GO:0030593; GO:0007204; GO:0032496	S46198			ENSRNOG00000028043	ENSRNOT00000034090; ENSRNOT00000078746	ENSRNOP00000038520; ENSRNOP00000070985		10116.ENSRNOP00000038520	rno:171551	Cxcl3
P97885	P97885	CXCL5_RAT	60665	NP_071550.1	11559996; 1899248; 2829847		GO:0005615; GO:0008009; GO:0031100; GO:0061844; GO:0071222; GO:0070098; GO:0001816; GO:0006955; GO:0006954; GO:0030595; GO:0001776; GO:0030901; GO:0042119; GO:0030593; GO:0010976; GO:0046427; GO:0032642; GO:0070951; GO:0010332; GO:0032496								10116.ENSRNOP00000003823	rno:60665	Cxcl5
P70612	P70612	CXCR1_RAT	54258	NP_062183.1; XP_006245335.2	9506809; 672065819; 2494965; 149016090; 1589931		GO:0005623; GO:0009897; GO:0016021; GO:0019957; GO:0016493; GO:0019956; GO:0019959; GO:0004918; GO:0019722; GO:0060326; GO:0007166; GO:0006935; GO:0006955; GO:0030593; GO:0007204; GO:0031623				ENSRNOG00000048239	ENSRNOT00000070827; ENSRNOT00000090868	ENSRNOP00000066188; ENSRNOP00000070273		10116.ENSRNOP00000066188	rno:54258	Cxcr1
P35407	P35407	CXCR2_RAT	29385	NP_058879.1; XP_008765435.1	498703; 672065524; 1617613; 8393600; 149016089; 944819; 1352455		GO:0005623; GO:0009986; GO:0009897; GO:0016021; GO:0042629; GO:0016020; GO:0072686; GO:0005654; GO:0019957; GO:0016493; GO:0016494; GO:0019956; GO:0004950; GO:0004930; GO:0019959; GO:0004918; GO:0002438; GO:0019722; GO:0060326; GO:0007166; GO:0006968; GO:0006935; GO:0006955; GO:0038112; GO:0072173; GO:0030901; GO:0043066; GO:0033030; GO:0042119; GO:0030593; GO:0007200; GO:0045766; GO:0010666; GO:0008284; GO:0007204; GO:0002690; GO:0090023; GO:0043117; GO:0031623	S42096			ENSRNOG00000014269	ENSRNOT00000019109	ENSRNOP00000019109		10116.ENSRNOP00000019109	rno:29385	Cxcr2
Q9JII9	Q9JII9	CXCR3_RAT	84475	NP_445867.1	60688165; 149042177; 8572057; 76364160; 16758152		GO:0005623; GO:0009986; GO:0009897; GO:0016021; GO:0005886; GO:0019957; GO:0016493; GO:0019958; GO:0016494; GO:0019956; GO:0042802; GO:0038023; GO:0007189; GO:0001525; GO:0019722; GO:0060326; GO:0007166; GO:0071954; GO:0006935; GO:0007186; GO:0006955; GO:0006954; GO:0016525; GO:0001937; GO:1900118; GO:0045766; GO:0008284; GO:0050921; GO:0007204; GO:1900119; GO:0051281; GO:0045944; GO:0030155; GO:0002685; GO:0010818				ENSRNOG00000003305	ENSRNOT00000004406	ENSRNOP00000004406		10116.ENSRNOP00000004406	rno:84475	Cxcr3
O08565	O08565	CXCR4_RAT	60628	NP_071541.2	58477118; 1491741726; 149058714; 17902281; 1906613; 2494971; 59709461		GO:0005623; GO:0031252; GO:0009986; GO:0005911; GO:0005737; GO:0031410; GO:0005769; GO:0005768; GO:0009897; GO:0030426; GO:0016021; GO:0005770; GO:0005764; GO:0005634; GO:0005886; GO:0032991; GO:0003779; GO:0019957; GO:0016493; GO:0016494; GO:0038147; GO:0019956; GO:0008144; GO:0042802; GO:0032027; GO:0043130; GO:0031625; GO:0001667; GO:0035904; GO:0007420; GO:0001569; GO:0019722; GO:0060048; GO:0060326; GO:0016477; GO:0071345; GO:0035690; GO:0006935; GO:0038160; GO:0050966; GO:0050965; GO:0045446; GO:0061154; GO:0002064; GO:0007186; GO:0048699; GO:0007281; GO:0008354; GO:0035701; GO:0006955; GO:0008045; GO:0043217; GO:0061351; GO:0022008; GO:0001764; GO:0008038; GO:0090280; GO:0030335; GO:0050921; GO:0120162; GO:0007204; GO:1903861; GO:2000448; GO:1905322; GO:0050769; GO:0048714; GO:0001934; GO:0035470; GO:0051924; GO:0030155; GO:0030334; GO:0050920; GO:0043067; GO:0050792; GO:0014823; GO:0001666; GO:0043278; GO:1990478; GO:0042098; GO:0022029; GO:0003281				ENSRNOG00000003866	ENSRNOT00000005143	ENSRNOP00000005143		10116.ENSRNOP00000005143	rno:60628	Cxcr4
P34997	P34997	CXCR5_RAT	29363	NP_445755.1	599927; 461630; 16758000		GO:0005623; GO:0009897; GO:0016021; GO:0019957; GO:0016493; GO:0016494; GO:0019956; GO:0042113; GO:0019722; GO:0060326; GO:0006935; GO:0006955; GO:0030595; GO:0048535; GO:0032467; GO:0007204	S32785							10116.ENSRNOP00000016580	rno:29363	Cxcr5
O70610	O70610	CXD2_RAT	50564	NP_062154.1	8928044; 149022927; 2980883; 9506729; 11124604		GO:0005922; GO:0005921; GO:0016021; GO:0045202; GO:0001508; GO:0007267; GO:0007268; GO:0007601				ENSRNOG00000008337	ENSRNOT00000011078	ENSRNOP00000011078		10116.ENSRNOP00000011078	rno:50564	Gjd2
